ECRY2_DN0_c0_g12446_i1.p1	GO:0017018, GO:0006470, GO:0005634
ECRY2_DN0_c0_g1331_i1.p1	GO:0005840, GO:0005739, GO:0006412, GO:0003735, GO:0005762
ECRY2_DN0_c0_g15444_i1.p1	GO:0003341, GO:0005929, GO:0030154, GO:0005515, GO:0005737, GO:1904158, GO:0007283, GO:0005856
ECRY2_DN0_c0_g665_i1.p1	GO:0042981, GO:0005515, GO:0030430
ECRY2_DN0_c0_g9823_i1.p1	GO:0007165, GO:1904425, GO:0050790, GO:0005737, GO:0005829, GO:0030833, GO:0005096, GO:0051056, GO:0051497
ECRY2_DN0_c0_g2287_i1.p1	GO:0005739, GO:0005740, GO:0006121, GO:0016021, GO:0020037, GO:0046872, GO:0048039, GO:0006099, GO:0005749, GO:0005743
ECRY2_DN0_c0_g1841_i1.p1	GO:0005576, GO:0120216, GO:0030198, GO:0062023, GO:0005509, GO:0051216
ECRY2_DN0_c0_g7546_i1.p1	GO:0005789, GO:0016021, GO:0005783, GO:0070780, GO:0030148, GO:0042392, GO:0046839
ECRY2_DN0_c0_g14895_i1.p1	GO:0005515, GO:0005730, GO:0051321, GO:0005634
ECRY2_DN0_c0_g12518_i1.p1	GO:0017128, GO:0005886, GO:0017121, GO:0016021, GO:0005783, GO:0005515, GO:0005509, GO:0005634, GO:0005654
ECRY2_DN0_c0_g13594_i1.p1	GO:0005515, GO:0005737, GO:0060285, GO:0031514, GO:1904158, GO:0003356, GO:0005930, GO:0005856
ECRY2_DN0_c0_g3022_i1.p1	GO:0005737, GO:0005509, GO:0031152, GO:0048870
ECRY2_DN0_c0_g12570_i1.p1	GO:0005112, GO:0051301, GO:0005737, GO:0007020, GO:0005874, GO:0005856, GO:0005819, GO:0007049
ECRY2_DN0_c0_g7328_i1.p1	GO:0042803, GO:0001701, GO:0005737, GO:0005829, GO:0006564, GO:0036424, GO:0000287, GO:0016311
ECRY2_DN0_c0_g15063_i1.p1	GO:0042799, GO:0060215, GO:0007519, GO:0045814, GO:0060216, GO:2000736, GO:0034773, GO:0005829, GO:0005737, GO:0045638, GO:0046872, GO:0005634, GO:0048738, GO:2000035
ECRY2_DN0_c0_g11981_i1.p1	GO:0005794, GO:0030473, GO:0005635, GO:0043204, GO:0048814, GO:0030425, GO:0008093, GO:0072393, GO:0007399, GO:0005829, GO:0033365, GO:0070840, GO:0070507, GO:0005875, GO:0043025, GO:0005634, GO:0034452
ECRY2_DN0_c0_g6448_i1.p1	GO:0005739, GO:0016042, GO:0005759, GO:0005524, GO:0004658, GO:0046872
ECRY2_DN0_c0_g2462_i1.p1	GO:0005739, GO:0005759, GO:0003858, GO:0006629, GO:0099617, GO:0005743
ECRY2_DN0_c0_g3373_i1.p1	GO:0015031, GO:0005739, GO:0005515, GO:0051028
ECRY2_DN0_c0_g1606_i1.p1	GO:0045824, GO:0034272, GO:0035096, GO:0031267, GO:0032465, GO:0000045, GO:0050829, GO:0030097, GO:0061723, GO:0006979, GO:0034271, GO:0000407, GO:0006995, GO:0045324, GO:0016322, GO:0009306, GO:0006897
ECRY2_DN0_c0_g12111_i1.p1	GO:0009792, GO:0003730, GO:0005737, GO:0071204, GO:0071207, GO:0051028, GO:0005634, GO:0006915, GO:0007076, GO:0006398
ECRY2_DN0_c0_g6145_i1.p1	GO:0004715, GO:0005829, GO:0045087, GO:0005634, GO:0004712, GO:0007260, GO:0005654, GO:0005102, GO:0007169, GO:0005524, GO:0042802, GO:0005737, GO:0031234, GO:0010976, GO:0046777, GO:0005886, GO:0016477, GO:0060575, GO:0045926, GO:0061099, GO:0016604, GO:0071300, GO:0001726
ECRY2_DN0_c0_g711_i1.p1	GO:0005739, GO:0005524, GO:0032543, GO:0070681, GO:0050567, GO:0030956
ECRY2_DN0_c0_g15227_i1.p1	GO:0030574, GO:1903427, GO:0042395, GO:1904000, GO:0031012, GO:0010286, GO:0030198, GO:0050829, GO:0008340, GO:0008270, GO:0005615, GO:1904109, GO:1904807, GO:0006508, GO:1900036, GO:0005576, GO:0010628, GO:0040017, GO:0002164, GO:0004222, GO:0042308
ECRY2_DN0_c0_g12944_i1.p1	GO:0016055, GO:0005516, GO:0005929, GO:0010171, GO:0060027, GO:0001822, GO:0035844, GO:0005737, GO:0072116, GO:0036372, GO:0001736, GO:0001947, GO:0072114, GO:0005856
ECRY2_DN0_c0_g13783_i1.p1	GO:0005925, GO:0030239, GO:0005912, GO:0009925, GO:0007005, GO:0001725, GO:0009792, GO:0008305, GO:1903356, GO:1904951, GO:0030674, GO:0004674, GO:0055002, GO:0005524, GO:0005737, GO:0034446, GO:0048815, GO:0055120, GO:1904901, GO:0046716, GO:0005886, GO:0007160, GO:0007229, GO:0005178, GO:0060298, GO:0060279, GO:0045987, GO:0006468, GO:0031430
ECRY2_DN0_c0_g9412_i1.p1	GO:0005794, GO:0051046, GO:0036066, GO:0005783, GO:0001707, GO:1903334, GO:0010468, GO:0010717, GO:0046922, GO:0006004
ECRY2_DN0_c0_g9927_i1.p1	GO:0005789, GO:0006614, GO:0016021, GO:0005783, GO:0005515
ECRY2_DN0_c0_g72_i1.p1	GO:0008494, GO:0003730, GO:0032991, GO:0030154, GO:0005515, GO:0005737, GO:0045948, GO:0005634, GO:0070935, GO:0007283
ECRY2_DN0_c0_g157_i1.p1	GO:0043652, GO:0048468, GO:0005576, GO:0008345, GO:0071588, GO:0043277, GO:0048513, GO:0035212, GO:1904396, GO:0042742, GO:0048678, GO:0062023, GO:0060100, GO:0005509, GO:0048190, GO:0106016, GO:0016322, GO:0035071
ECRY2_DN0_c0_g2906_i1.p1	GO:0005886, GO:0034235, GO:0030431, GO:1903818, GO:0048511, GO:0045187, GO:0031225, GO:0032222
ECRY2_DN0_c0_g15965_i1.p1	GO:1903364, GO:0030154, GO:0048471, GO:0036435, GO:0005737, GO:0042006, GO:0007283
ECRY2_DN0_c0_g8360_i1.p1	GO:0000281, GO:0051301, GO:0019901, GO:0005935, GO:0008595, GO:0007049
ECRY2_DN0_c0_g10519_i1.p1	GO:0005779, GO:0042802, GO:0044375, GO:0005829, GO:0005777, GO:0005778, GO:0007031, GO:0016559
ECRY2_DN0_c0_g15073_i1.p1	GO:0005739, GO:0031305, GO:0005744, GO:0008320, GO:0030150, GO:0005743
ECRY2_DN0_c0_g10452_i1.p1	GO:0005886, GO:0015811, GO:0042605, GO:0016021, GO:0031526, GO:0055085, GO:0015184, GO:0016324, GO:0015175
ECRY2_DN0_c0_g11039_i1.p1	GO:0000209, GO:0005524, GO:0061631, GO:0006511, GO:0005634
ECRY2_DN0_c0_g2235_i1.p1	GO:0006527, GO:0031676, GO:0016491, GO:0046872, GO:0009579
ECRY2_DN0_c0_g10842_i1.p1	GO:0001975, GO:0005737, GO:0016428, GO:0036416, GO:0030488, GO:0003723
ECRY2_DN0_c0_g1474_i1.p1	GO:0032735, GO:0048468, GO:0030316, GO:0043123, GO:0097400, GO:0005634, GO:0046849, GO:0019886, GO:0006974, GO:0001701, GO:0001843, GO:0033209, GO:0048471, GO:0005737, GO:0032755, GO:1901224, GO:1904996, GO:0008270, GO:2000679, GO:0002726, GO:0007250, GO:0071345, GO:0042475, GO:0007254, GO:0031666, GO:0001503, GO:0042981, GO:0070498, GO:0002637, GO:0048661, GO:0042088, GO:0071222, GO:0046330, GO:0043507, GO:0032743, GO:0043011, GO:0007249, GO:0005635, GO:0042102, GO:0051865, GO:0070555, GO:0045944, GO:0000122, GO:0051092, GO:0050852, GO:0045453, GO:0045672, GO:0070534
ECRY2_DN0_c0_g380_i1.p1	GO:0016055, GO:0080163, GO:0045475, GO:0016319, GO:0099523, GO:0008062, GO:0019887, GO:0060810, GO:0005956, GO:0005737, GO:0007310, GO:0006468, GO:0005634, GO:0031594, GO:0050807
ECRY2_DN0_c0_g705_i1.p1	GO:0043981, GO:0045944, GO:0047372, GO:0043984, GO:0006325, GO:0044545, GO:0008474, GO:0005634, GO:0004620, GO:0043982
ECRY2_DN0_c0_g10894_i1.p1	GO:0005794, GO:0007389, GO:0044351, GO:0005576, GO:0031288, GO:0055037, GO:0030587, GO:0030041, GO:0005199, GO:0016477, GO:0098609, GO:0031589, GO:0043326, GO:0071944
ECRY2_DN0_c0_g14872_i1.p1	GO:0005794, GO:0019899, GO:0047238, GO:0000003, GO:0040025, GO:0016021, GO:0002009, GO:0032580, GO:0005737, GO:0018991, GO:0030206, GO:0047237, GO:0046872, GO:0040026, GO:0050510
ECRY2_DN0_c0_g15838_i1.p1	GO:0051642, GO:0005886, GO:0072686, GO:0005828, GO:0007052, GO:0023052, GO:0051382, GO:0008017, GO:0000922, GO:0008157, GO:0005737, GO:0005634, GO:0005654, GO:0007346, GO:0005856, GO:0007059, GO:0031616, GO:0007049
ECRY2_DN0_c0_g6252_i1.p1	GO:0006367, GO:0051123, GO:0016251, GO:0071339, GO:0005669, GO:0005634, GO:0006357
ECRY2_DN0_c0_g757_i1.p1	GO:0005667, GO:0045944, GO:0048568, GO:0030154, GO:0001654, GO:0048666, GO:0009887, GO:0007399, GO:0000978, GO:0007420, GO:0014036, GO:0000981, GO:0005634
ECRY2_DN0_c0_g12550_i1.p1	GO:0005886, GO:0034235, GO:0030431, GO:1903818, GO:0048511, GO:0045187, GO:0031225, GO:0032222
ECRY2_DN0_c0_g6639_i1.p1	GO:0005576, GO:0030141, GO:0031012, GO:1990430, GO:0031215, GO:0005615
ECRY2_DN0_c0_g10439_i1.p1	GO:0031031, GO:0051301, GO:1905758, GO:0051286, GO:0051285, GO:0050790, GO:0005515, GO:0005829, GO:0005096, GO:0032153, GO:0031097, GO:0007049
ECRY2_DN0_c0_g1262_i1.p1	GO:0030154, GO:0030036, GO:0032839, GO:0007420, GO:0015629, GO:0005634, GO:0051015, GO:0033150, GO:0007283
ECRY2_DN0_c0_g1705_i1.p1	GO:0043123, GO:0048208, GO:0005783, GO:0005737, GO:0005829, GO:0042802, GO:0006888, GO:0070971
ECRY2_DN0_c0_g11989_i1.p1	GO:0008134, GO:0012506, GO:0003777, GO:0030707, GO:0005871, GO:0016887, GO:0005829, GO:0005874, GO:0042073, GO:0007476, GO:0035301, GO:0005929, GO:0008017, GO:0005524, GO:0019901, GO:0005737, GO:0031234, GO:0042994, GO:0140311, GO:0045879, GO:0005886, GO:0042981, GO:0005119, GO:0031625, GO:0005856, GO:0035591, GO:0007224
ECRY2_DN0_c0_g16296_i1.p1	GO:0106330, GO:0005975, GO:0005737, GO:0005764, GO:0106331, GO:0002682
ECRY2_DN0_c0_g6524_i1.p1	GO:0001172, GO:0030430, GO:0003968
ECRY2_DN0_c0_g4583_i1.p1	GO:0004714, GO:0002009, GO:0005634, GO:0048560, GO:0016055, GO:0016323, GO:0045167, GO:0007169, GO:0005524, GO:0005737, GO:0010085, GO:0007409, GO:1905488, GO:0005887, GO:0009786, GO:0005886, GO:0007399, GO:0043235, GO:0040035, GO:0033674, GO:0040028, GO:1905485, GO:1905491, GO:0006468, GO:0009949, GO:1904937
ECRY2_DN0_c0_g1827_i1.p1	GO:0051082, GO:0030707, GO:0005524, GO:0016887, GO:0005737, GO:0005829, GO:0005832, GO:0006457, GO:0140662
ECRY2_DN0_c0_g16318_i1.p1	GO:0031031, GO:0051301, GO:1905758, GO:0051286, GO:0051285, GO:0050790, GO:0005515, GO:0005829, GO:0005096, GO:0032153, GO:0031097, GO:0007049
ECRY2_DN0_c0_g7323_i1.p1	GO:0016055, GO:0005886, GO:0090263, GO:0061630, GO:0051865, GO:0072572, GO:0005737, GO:0005829, GO:0006511, GO:0008270, GO:0005634, GO:0070936, GO:0005654
ECRY2_DN0_c0_g7884_i1.p1	GO:0016020, GO:0098671, GO:0039573, GO:0016021, GO:0042008, GO:0005515, GO:0061809, GO:0055036, GO:0030683, GO:0050135, GO:0046718
ECRY2_DN0_c0_g9331_i1.p1	GO:0035282, GO:0046872, GO:0006357, GO:0005634, GO:0003677
ECRY2_DN0_c0_g6504_i1.p1	GO:0005840, GO:0006412, GO:0006364, GO:0003735, GO:0005737
ECRY2_DN0_c0_g3640_i1.p1	GO:0009791, GO:0003012, GO:0030239, GO:0060361, GO:0005509, GO:0016459
ECRY2_DN0_c0_g7560_i1.p1	GO:0036099, GO:0030576, GO:0009225, GO:0031507, GO:0005975, GO:0009408, GO:0005737, GO:0035065, GO:1990966, GO:0005634, GO:0006282, GO:0051457, GO:0004649, GO:0043484, GO:0005654
ECRY2_DN0_c0_g11515_i1.p1	GO:0005794, GO:0016020, GO:0000138, GO:0016021, GO:0042802, GO:0006890
ECRY2_DN0_c0_g5128_i1.p1	GO:0000049, GO:0005634, GO:0106004, GO:0008176, GO:0043527
ECRY2_DN0_c0_g6171_i1.p1	GO:0000301, GO:0005794, GO:0042803, GO:0000139, GO:0007030, GO:0016021, GO:0031985, GO:0031267
ECRY2_DN0_c0_g10492_i1.p1	GO:0016020, GO:0016021, GO:0005515, GO:0098670, GO:0055036, GO:0019031, GO:0046718
ECRY2_DN0_c0_g9658_i1.p1	GO:0051984, GO:0006260, GO:0034518, GO:0031047, GO:0048471, GO:0070918, GO:0005737, GO:0005515, GO:1990511, GO:0051306, GO:0051781, GO:0034585, GO:0005634, GO:0009792, GO:0040016, GO:0007059, GO:0003723, GO:0007049
ECRY2_DN0_c0_g3480_i1.p1	GO:0001654, GO:0005515, GO:0005737, GO:0005634
ECRY2_DN0_c0_g1771_i1.p1	GO:0072583, GO:0016191, GO:0043231, GO:0004725, GO:0014069, GO:0098793, GO:0005737, GO:0045202, GO:0005829, GO:2000369, GO:0031982, GO:0030276, GO:0016311, GO:0017124
ECRY2_DN0_c0_g11064_i1.p1	GO:0005887, GO:0005886, GO:0030425, GO:0007213, GO:0004993, GO:0007187, GO:0045211, GO:0098664, GO:0007271, GO:0016907
ECRY2_DN0_c0_g403_i1.p1	GO:0005886, GO:0032450, GO:0070062, GO:0016021, GO:0070821, GO:0005515, GO:0000025, GO:0101003, GO:1901027, GO:0004339, GO:0016324, GO:0030246, GO:0005983
ECRY2_DN0_c0_g3144_i1.p1	GO:0010499, GO:0070577, GO:0070628, GO:0006281, GO:0035093, GO:0010952, GO:0005737, GO:0005829, GO:0016607, GO:0016504, GO:0005634, GO:1990111
ECRY2_DN0_c0_g15879_i1.p1	GO:0005576, GO:0001887, GO:0008430
ECRY2_DN0_c0_g3688_i1.p1	GO:0006508, GO:0005576, GO:0004252, GO:0005615
ECRY2_DN0_c0_g16317_i1.p1	GO:0001714, GO:1904936, GO:0000132, GO:0009792, GO:1903356, GO:0043652, GO:0005769, GO:0016021, GO:0048557, GO:1905488, GO:0097475, GO:1901076, GO:0005886, GO:0060069, GO:0097402, GO:1905485, GO:0007369, GO:1905491, GO:1904937, GO:0042813, GO:0070986
ECRY2_DN0_c0_g5303_i1.p1	GO:0051082, GO:0007165, GO:0016887, GO:0005524, GO:0034613, GO:0031072, GO:0051787, GO:0005737, GO:0140662
ECRY2_DN0_c0_g11191_i1.p1	GO:0046513, GO:0005789, GO:0030216, GO:0016021, GO:0008544, GO:0005783, GO:0070268, GO:0050291, GO:0003677
ECRY2_DN0_c0_g13703_i1.p1	GO:0030424, GO:0030425, GO:0070593, GO:0005515, GO:0008407, GO:0042052, GO:0150013, GO:0031175, GO:0007476, GO:0051012, GO:0045893, GO:0030427, GO:0071902, GO:0035317, GO:0048800, GO:0048814, GO:0045177, GO:0048601, GO:0005938, GO:0044297
ECRY2_DN0_c0_g12037_i1.p1	GO:0046872, GO:0006357, GO:0005829, GO:0005634
ECRY2_DN0_c0_g11047_i1.p1	GO:0050896, GO:0007601, GO:0006357, GO:0000981, GO:0005634, GO:0003677
ECRY2_DN0_c0_g14048_i1.p1	GO:0006620, GO:0005794, GO:0005739, GO:0030176, GO:0005789, GO:0006614, GO:0031207, GO:0005783, GO:0005829, GO:0071806, GO:0008320
ECRY2_DN0_c0_g8255_i1.p1	GO:0009653, GO:0030154, GO:0000978, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g5207_i1.p1	GO:0016020, GO:0098671, GO:0039573, GO:0016021, GO:0055036, GO:0030683, GO:0004908, GO:0019966, GO:0046718
ECRY2_DN0_c0_g6065_i1.p1	GO:0004843, GO:0005794, GO:0006511, GO:0005509, GO:0016579
ECRY2_DN0_c0_g2586_i1.p1	GO:0005887, GO:0005886, GO:0004714, GO:0007169, GO:0005524, GO:0043235, GO:0033674, GO:0045138, GO:0018108, GO:0004712
ECRY2_DN0_c0_g524_i1.p1	GO:0045892, GO:0045944, GO:0005515, GO:0000978, GO:0140655, GO:0001228, GO:0008270, GO:0005634
ECRY2_DN0_c0_g9052_i1.p1	GO:0005739, GO:0071949, GO:0008720, GO:0004458, GO:1903457
ECRY2_DN0_c0_g12395_i1.p1	GO:0005576, GO:0010460, GO:0071855, GO:0005184, GO:0007218, GO:0005615
ECRY2_DN0_c0_g14458_i1.p1	GO:0005887, GO:0007158, GO:0050804, GO:1902883, GO:0005886, GO:0038023, GO:0098793, GO:0097105, GO:0097104, GO:1903204, GO:0045202, GO:0048488, GO:0042043, GO:0009986, GO:0007268, GO:0072756
ECRY2_DN0_c0_g678_i1.p1	GO:0016020, GO:0098671, GO:0039573, GO:0016021, GO:0055036, GO:0005509, GO:0030683, GO:0046718
ECRY2_DN0_c0_g12167_i1.p1	GO:0007291, GO:0009653, GO:0070062, GO:0030154, GO:0005515, GO:0007283
ECRY2_DN0_c0_g10631_i1.p1	GO:0004061, GO:0019441, GO:0005737, GO:0005829, GO:0034354, GO:0005634
ECRY2_DN0_c0_g7300_i1.p1	GO:0005886, GO:0016021, GO:0015886, GO:0005765, GO:0005764, GO:0020037, GO:0005768, GO:0010008, GO:0015232
ECRY2_DN0_c0_g13577_i1.p1	GO:0006646, GO:0005789, GO:0016021, GO:0004142, GO:0006657, GO:0004307
ECRY2_DN0_c0_g13107_i1.p1	GO:0030424, GO:0043198, GO:0008076, GO:0005886, GO:0032279, GO:0099055, GO:0043194, GO:0099056, GO:0005783, GO:0098978, GO:0005515, GO:0005251, GO:0071805, GO:0030955, GO:0051260, GO:0043197, GO:0034765, GO:0009986
ECRY2_DN0_c0_g8359_i1.p1	GO:0036064, GO:0120103, GO:0098534, GO:0042802, GO:0005737, GO:0034451, GO:0042995, GO:0090307, GO:0030030, GO:0005813, GO:0005856
ECRY2_DN0_c0_g4118_i1.p1	GO:0051014, GO:0030043, GO:0051693, GO:0005737, GO:0045335, GO:0015629, GO:0048306, GO:0051015
ECRY2_DN0_c0_g14665_i1.p1	GO:0005758, GO:0005739, GO:0030150, GO:0005515
ECRY2_DN0_c0_g5556_i1.p1	GO:0006935, GO:0007168, GO:0007635, GO:0005886, GO:0004383, GO:1902074, GO:0005524, GO:0004672, GO:0016021, GO:0006182, GO:0001653, GO:0006468, GO:0005525, GO:0032026, GO:0035556, GO:0050850
ECRY2_DN0_c0_g7169_i1.p1	GO:0005739, GO:0003714, GO:0032991, GO:0010629, GO:0005829, GO:0070212, GO:0045087, GO:0005634, GO:0010608, GO:0005654, GO:0140289, GO:0005737, GO:0045893, GO:0042393, GO:0003950, GO:0006302, GO:0042531, GO:0004857, GO:0002230, GO:0060335, GO:0035563, GO:2001034, GO:1990404, GO:0097677, GO:0044389, GO:0090734, GO:0043086, GO:0000122, GO:1900182, GO:0072570, GO:0051607
ECRY2_DN0_c0_g790_i1.p1	GO:0106217, GO:0005737, GO:0005829, GO:0005634, GO:0052735
ECRY2_DN0_c0_g11954_i1.p1	GO:0005887, GO:0030594, GO:0005886, GO:0007165, GO:0050877, GO:0004888, GO:0042391, GO:0045202, GO:0034220, GO:0005230, GO:0045211, GO:0043005, GO:0007268
ECRY2_DN0_c0_g4162_i1.p1	GO:0033627, GO:0016020, GO:0016021, GO:0007157, GO:0007229, GO:0007160, GO:0008305, GO:0009897, GO:0005178, GO:0001555, GO:0046982
ECRY2_DN0_c0_g7617_i1.p1	GO:0006935, GO:0030424, GO:0008017, GO:0016021, GO:0030867, GO:0005783, GO:0031965, GO:0005634, GO:0023041
ECRY2_DN0_c0_g7342_i1.p1	GO:0005739, GO:0006235, GO:0005829, GO:0004799, GO:0006231, GO:0032259
ECRY2_DN0_c0_g10926_i1.p1	GO:0008328, GO:0005886, GO:0050896, GO:0007154, GO:0023052, GO:0016021, GO:0006812, GO:0035235, GO:0045202, GO:0034220, GO:0015277, GO:0045211
ECRY2_DN0_c0_g16330_i1.p1	GO:0005887, GO:0004983, GO:0005886, GO:0007218
ECRY2_DN0_c0_g3039_i1.p1	GO:0003755, GO:0000413, GO:0016607, GO:0006457, GO:0036396, GO:0005634, GO:0005654
ECRY2_DN0_c0_g14410_i1.p1	GO:0036064, GO:0005814, GO:0060271, GO:0097542, GO:0005929, GO:0005515, GO:0005737, GO:0045880, GO:0005856
ECRY2_DN0_c0_g8213_i1.p1	GO:0006493, GO:0001764, GO:0005789, GO:0004672, GO:0016021, GO:0005524, GO:0007611, GO:0005783, GO:0019200, GO:0006468, GO:0007420, GO:0019233, GO:0050905, GO:0046835
ECRY2_DN0_c0_g10206_i1.p1	GO:0005515, GO:0016021, GO:0007166, GO:0005886
ECRY2_DN0_c0_g6122_i1.p1	GO:0030424, GO:0060315, GO:0005604, GO:0045174, GO:0050610, GO:0019853, GO:0005737, GO:0042178, GO:0071243, GO:0005829, GO:0031965, GO:0060316, GO:0004364, GO:0010880, GO:0044297, GO:0006749, GO:0098869, GO:0043209
ECRY2_DN0_c0_g11909_i1.p1	GO:0016020, GO:0005515, GO:0005634, GO:0003723, GO:0030496, GO:0008327, GO:0034709, GO:0007049
ECRY2_DN0_c0_g15682_i1.p1	GO:0005885, GO:0005737, GO:0034314, GO:0030833, GO:0035861, GO:0003779, GO:0042995, GO:0015629, GO:0005634, GO:0030041
ECRY2_DN0_c0_g5651_i1.p1	GO:0045471, GO:0030424, GO:0005262, GO:0040017, GO:1990756, GO:0019902, GO:0072347, GO:0009410, GO:1901424
ECRY2_DN0_c0_g8491_i1.p1	GO:0039554, GO:0051286, GO:0051285, GO:0005829, GO:0032153, GO:0030683, GO:0046872, GO:0031097
ECRY2_DN0_c0_g4066_i1.p1	GO:0005829, GO:0031398, GO:0005634, GO:0089720, GO:0046329, GO:1990001, GO:0016055, GO:2001271, GO:0061630, GO:0031624, GO:0048471, GO:1903688, GO:0005737, GO:1990381, GO:0008270, GO:0051726, GO:0006915, GO:0048800, GO:0005876, GO:0007283, GO:0046673, GO:0090263, GO:0045035, GO:0007298, GO:0007289, GO:0031625, GO:0061663, GO:0045116, GO:0043027, GO:0051865, GO:0022416, GO:0070936
ECRY2_DN0_c0_g10911_i1.p1	GO:0016020, GO:0016021, GO:0005515, GO:0000226, GO:0007088, GO:0005634
ECRY2_DN0_c0_g14548_i1.p1	GO:0070306, GO:0002070, GO:0021983, GO:0005634, GO:0021537, GO:0005667, GO:0030178, GO:0002088, GO:0001222, GO:0014016, GO:0009946, GO:1902742, GO:0021846, GO:0045892, GO:1990086, GO:1901987, GO:0000978, GO:1902692, GO:0045665, GO:0097402, GO:0021798, GO:0045944, GO:0001654, GO:0003404, GO:0021978, GO:0007420, GO:0001228, GO:0061074
ECRY2_DN0_c0_g15834_i1.p1	GO:0016042, GO:0030382, GO:0005737, GO:0046872, GO:0090141, GO:0004620
ECRY2_DN0_c0_g3851_i1.p1	GO:0009705, GO:0048487, GO:0005737, GO:0009959, GO:0005096, GO:0009958, GO:0005773, GO:0009660
ECRY2_DN0_c0_g13249_i1.p1	GO:0005901, GO:0005794, GO:0005886, GO:0000139, GO:0001937, GO:0048471, GO:0005737, GO:0006906, GO:0060161, GO:0070836, GO:0005634, GO:0007005, GO:0048741, GO:0031234, GO:0031748, GO:0007029, GO:0048278
ECRY2_DN0_c0_g15087_i1.p1	GO:0005794, GO:0030176, GO:0005789, GO:0033116, GO:0005783, GO:0043621, GO:0006888, GO:0030173, GO:0030134, GO:0006890
ECRY2_DN0_c0_g14661_i1.p1	GO:0009117, GO:0005737, GO:0008253, GO:0000287, GO:0000166
ECRY2_DN0_c0_g9611_i1.p1	GO:1990830, GO:0005509, GO:0050790, GO:0005737
ECRY2_DN0_c0_g9842_i1.p1	GO:0005789, GO:0016021, GO:0006506, GO:0005783, GO:0097502, GO:0000026
ECRY2_DN0_c0_g6466_i1.p1	GO:0071885, GO:0006480, GO:0005737, GO:0005634
ECRY2_DN0_c0_g5058_i1.p1	GO:0016020, GO:0004864, GO:0016021, GO:0033644, GO:0019902, GO:0010923
ECRY2_DN0_c0_g7478_i1.p1	GO:0005794, GO:0035264, GO:0010269, GO:0060612, GO:0035934, GO:0005783, GO:0048471, GO:0005737, GO:0016491, GO:0005788, GO:0042445
ECRY2_DN0_c0_g13330_i1.p1	GO:0030424, GO:0052651, GO:2000124, GO:0016020, GO:0019433, GO:0005829, GO:0006633, GO:0019898, GO:0030516, GO:0005654, GO:0047372, GO:0005737, GO:0051930, GO:0019369, GO:0050727, GO:0060292, GO:0045907, GO:0042803, GO:0043196, GO:0045202
ECRY2_DN0_c0_g2421_i1.p1	GO:0030154, GO:0005515, GO:0048471, GO:0005737, GO:0007283
ECRY2_DN0_c0_g4001_i1.p1	GO:0030674, GO:0019899, GO:0070062, GO:0005885, GO:0005737, GO:0034314, GO:0030833, GO:0035861, GO:0005829, GO:0042995, GO:0015629, GO:0005634, GO:0030041, GO:0005200, GO:0051015
ECRY2_DN0_c0_g11097_i1.p1	GO:0005739, GO:0016021, GO:0034982, GO:0006515, GO:0046872, GO:0004222, GO:0005743
ECRY2_DN0_c0_g7336_i1.p1	GO:0006370, GO:0003729, GO:0005737, GO:0051028, GO:0005634, GO:0000340
ECRY2_DN0_c0_g13332_i1.p1	GO:0000281, GO:0072686, GO:0007052, GO:0021795, GO:0000922, GO:0008022, GO:0005737, GO:0043014, GO:0051302, GO:0060285, GO:0005509, GO:0043025, GO:0005813, GO:0005930, GO:0005856
ECRY2_DN0_c0_g4901_i1.p1	GO:0005198, GO:0019028, GO:0042025, GO:0019046
ECRY2_DN0_c0_g11853_i1.p1	GO:0005576, GO:0030198, GO:0009374, GO:0005509, GO:0005615
ECRY2_DN0_c0_g7379_i1.p1	GO:0005978, GO:0045818, GO:0000329, GO:0043086, GO:0005515, GO:0005773, GO:0003723
ECRY2_DN0_c0_g5668_i1.p1	GO:0006278, GO:0090305, GO:0030430, GO:0046872, GO:0003964, GO:0004519, GO:0042025
ECRY2_DN0_c0_g5938_i1.p1	GO:1990259, GO:0032040, GO:0000494, GO:0008649, GO:1990258, GO:0031428, GO:0031167, GO:0003723
ECRY2_DN0_c0_g13507_i1.p1	GO:0042803, GO:0005737, GO:0006468, GO:0003723, GO:0045171
ECRY2_DN0_c0_g8823_i1.p1	GO:0005524, GO:0016887, GO:0006281, GO:0005663, GO:0006261, GO:0005634, GO:0003677, GO:0003689
ECRY2_DN0_c0_g16138_i1.p1	GO:0006979, GO:0046872, GO:0000981, GO:0000977, GO:0005634, GO:0006357
ECRY2_DN0_c0_g558_i1.p1	GO:0001550, GO:0030728, GO:0052689, GO:0005509, GO:1904724, GO:0090024, GO:0007165, GO:0050728, GO:0045668, GO:0030212, GO:0007267, GO:0005615, GO:1904813, GO:0006954, GO:0045671, GO:0030335, GO:0005576, GO:0005540, GO:0001968, GO:1903911, GO:0007155, GO:1905590, GO:0030514
ECRY2_DN0_c0_g2052_i1.p1	GO:0030424, GO:0005886, GO:0071244, GO:0004725, GO:0008138, GO:0016327, GO:0005515, GO:0005737, GO:0035335, GO:0005634
ECRY2_DN0_c0_g3609_i1.p1	GO:0005794, GO:0000139, GO:0016021, GO:0015020, GO:0042285, GO:0035269
ECRY2_DN0_c0_g2986_i1.p1	GO:0032720, GO:0032717, GO:0031663, GO:0050829, GO:0032715, GO:0005615, GO:0045087, GO:0008289, GO:0043031
