CCFQ1_DN4592_c0_g1_i2.p1	GO:0006749, GO:0005576, GO:0004364
CCFQ1_DN23651_c0_g1_i1.p1	GO:0009298, GO:0005829, GO:0006486, GO:0008270, GO:0004476, GO:0005737, GO:0005975, GO:0000032
CCFQ1_DN30789_c0_g1_i1.p1	GO:0005856, GO:0007283, GO:0005814, GO:0005737, GO:0005515
CCFQ1_DN7078_c0_g1_i1.p1	GO:0030133, GO:0030658, GO:0033366, GO:0005576, GO:0005515, GO:0030667
CCFQ1_DN40966_c0_g1_i1.p1	GO:0000717, GO:0045951, GO:0003684, GO:0046872, GO:0005634, GO:0006366, GO:0003678, GO:0006289, GO:0033683, GO:0009408, GO:0016887, GO:0051539, GO:0005524, GO:0005515, GO:0009411
CCFQ1_DN16782_c0_g1_i1.p1	GO:0070212, GO:0032436, GO:0090263, GO:0032212, GO:0046872, GO:0005634, GO:1904355, GO:0051225, GO:0016055, GO:0070198, GO:0003950, GO:0005737, GO:0008363, GO:0007367, GO:0005515
CCFQ1_DN10045_c0_g1_i1.p1	GO:0007417, GO:0016705, GO:0020037, GO:0005739, GO:0007494, GO:0005506, GO:0004497, GO:0008362, GO:0031966, GO:0008258, GO:0006697, GO:0007391
CCFQ1_DN4352_c0_g1_i1.p1	GO:0010008, GO:0005789, GO:0005764, GO:0005739, GO:0098992, GO:0005741, GO:0099013, GO:0044233, GO:0005765, GO:0005515, GO:0015031, GO:0019898, GO:0005783, GO:0005794, GO:0005768, GO:0005811, GO:1905146
CCFQ1_DN40908_c0_g1_i1.p1	GO:0017134, GO:0005654, GO:0005730, GO:0008543, GO:0070527
CCFQ1_DN91_c0_g1_i2.p1	GO:0043130, GO:0003684, GO:0005654, GO:0070628, GO:0005634, GO:0005829, GO:0043161, GO:0006289, GO:0031593
CCFQ1_DN4902_c0_g1_i2.p1	GO:0016459, GO:0008360, GO:0016477, GO:0035329, GO:0009880, GO:0051649, GO:0030866, GO:0003365, GO:0016055, GO:0005515, GO:0060026, GO:0035907, GO:0046847, GO:0001525, GO:0001935, GO:0035912, GO:0030334
CCFQ1_DN10845_c0_g1_i2.p1	GO:0016021, GO:0008455, GO:0018279, GO:0009312, GO:0000139, GO:0042803, GO:0030145, GO:0005795, GO:0005794, GO:0030246
CCFQ1_DN41379_c0_g1_i1.p1	GO:0005654, GO:0009611, GO:0003924, GO:0031347, GO:2000022
CCFQ1_DN11335_c0_g1_i1.p1	GO:0005856, GO:0045087, GO:0005654, GO:0005813, GO:0042802, GO:0005814, GO:0043231, GO:0005737
CCFQ1_DN28920_c0_g1_i1.p1	GO:0097746, GO:0016021, GO:0038166, GO:0042981, GO:0006954, GO:0005886, GO:0004945
CCFQ1_DN29350_c0_g1_i1.p1	GO:0034587, GO:0043186, GO:0007283, GO:0070306, GO:0030719, GO:0005737, GO:0003729, GO:0002089, GO:0010608
CCFQ1_DN18692_c0_g1_i1.p1	GO:0030430, GO:0042802, GO:0042025, GO:0039526
CCFQ1_DN4648_c0_g1_i2.p1	GO:0035071, GO:0042995, GO:0005634, GO:0080008, GO:0043067, GO:0061670, GO:0043161, GO:0016567, GO:0098793, GO:0045202, GO:1990756, GO:0005737
CCFQ1_DN5530_c0_g1_i1.p1	GO:0046872, GO:0031932, GO:0031929, GO:0050896, GO:0031931, GO:0005737
CCFQ1_DN2507_c0_g1_i1.p1	GO:0000775, GO:0035042, GO:0005654, GO:0005694, GO:0000776, GO:0007143, GO:0003677, GO:0042585, GO:0001940, GO:0006336
CCFQ1_DN538_c0_g1_i4.p1	GO:0035615, GO:0030136, GO:0030100, GO:0040017, GO:0045202, GO:0005737, GO:0048488, GO:0008021
CCFQ1_DN45252_c0_g1_i1.p1	GO:0019069, GO:0003677, GO:0042025, GO:0019028
CCFQ1_DN43585_c0_g1_i1.p1	GO:0032994, GO:0005829, GO:0034499, GO:0005794, GO:0000139, GO:0015031, GO:0005737, GO:0005768, GO:0032266
CCFQ1_DN1370_c0_g2_i1.p1	GO:0016021, GO:0006897, GO:0016020, GO:0009897, GO:0030246
CCFQ1_DN1524_c1_g1_i16.p1	GO:0005654, GO:0005634, GO:0006397, GO:0003723, GO:0008380, GO:0005515
CCFQ1_DN10801_c0_g1_i6.p1	GO:0019221, GO:0007424, GO:0007298, GO:0045475, GO:0005886, GO:0007350, GO:0097677, GO:0007442, GO:0016324, GO:0016021, GO:0046982, GO:0007616, GO:0050829, GO:0042246, GO:0008284, GO:0016327, GO:0097678, GO:0004896, GO:0001745, GO:1990782, GO:0007472, GO:0007259
CCFQ1_DN24898_c0_g1_i1.p1	GO:0005773, GO:0016021, GO:0030855, GO:0005515, GO:0005774
CCFQ1_DN11741_c0_g1_i1.p1	GO:0010187, GO:0043565, GO:0005634, GO:0004407, GO:0005829, GO:1900055, GO:0008270, GO:0006357, GO:1990619, GO:0005737, GO:0005515, GO:0006325
CCFQ1_DN2237_c0_g1_i5.p1	GO:0072499, GO:1900074, GO:0010942, GO:0009986, GO:0005031, GO:0006915, GO:0005886, GO:0070050, GO:0005887, GO:0033209, GO:0007399, GO:0005515
CCFQ1_DN7491_c0_g1_i1.p1	GO:0070382, GO:1903861, GO:0012505, GO:0005544, GO:0042043, GO:0019897, GO:0032793, GO:0005886, GO:0030154, GO:0031267, GO:0070374
CCFQ1_DN3693_c0_g2_i1.p2	GO:0006897, GO:1990072, GO:0046872
CCFQ1_DN7096_c0_g2_i1.p1	GO:0030672, GO:0031224, GO:0032418, GO:0072384, GO:0098574, GO:0005873, GO:0005764, GO:0005765, GO:1903744, GO:0005515, GO:0099078
CCFQ1_DN1861_c0_g1_i11.p1	GO:0015420, GO:0016021, GO:0015889, GO:0055085, GO:0016323, GO:0005886, GO:0005524
CCFQ1_DN32011_c0_g1_i1.p1	GO:0007097, GO:0005791, GO:0005640, GO:0016021, GO:0051015, GO:0008360, GO:0005634, GO:0007010, GO:0034993, GO:0140444, GO:0005737, GO:0005635, GO:0090150
CCFQ1_DN28500_c0_g1_i1.p1	GO:0000775, GO:0005634, GO:0005694, GO:0005515, GO:0019046
CCFQ1_DN40192_c0_g1_i1.p1	GO:0019029, GO:0003677, GO:2000142, GO:0032774
CCFQ1_DN23799_c0_g1_i1.p1	GO:0005634, GO:0009611, GO:0003924, GO:0031347, GO:2000022
CCFQ1_DN21768_c0_g1_i1.p1	GO:0046872, GO:0000438, GO:0005654, GO:0005634, GO:0005669, GO:0006366, GO:0005675, GO:0070816, GO:0016251, GO:0097550, GO:0006289, GO:0047485
CCFQ1_DN14703_c0_g1_i1.p1	GO:0000775, GO:0016604, GO:0005730, GO:0000818, GO:0005694, GO:0005634, GO:0035578, GO:0000776, GO:0005829, GO:0005654, GO:0007049, GO:0000070, GO:0051301, GO:0005576, GO:0031617, GO:0005515, GO:0001650
CCFQ1_DN7067_c0_g1_i1.p1	GO:0016021, GO:0007165, GO:0016020, GO:0060326, GO:0008009
CCFQ1_DN3056_c0_g1_i1.p1	GO:0001676, GO:0046949, GO:0016207, GO:0009555, GO:0080110, GO:0031956, GO:0005524, GO:0004467, GO:0005783, GO:0005737, GO:0005515
CCFQ1_DN15632_c0_g1_i1.p1	GO:0070180, GO:0022625, GO:0002181, GO:0003735, GO:0022626, GO:0017022
CCFQ1_DN17419_c0_g1_i1.p1	GO:0000423, GO:0005515, GO:0005654, GO:0005730
CCFQ1_DN11091_c0_g1_i4.p1	GO:0042025, GO:0008908, GO:0031648, GO:0005576, GO:0030430
CCFQ1_DN35245_c0_g1_i1.p1	GO:0016607, GO:0005634, GO:0005516, GO:0006355, GO:0003677, GO:0030154, GO:0003700, GO:0005737, GO:0030238, GO:0007548
CCFQ1_DN27119_c0_g1_i1.p1	GO:0043083, GO:0043199, GO:0031225, GO:0017171, GO:0003990, GO:0005615, GO:0007268, GO:0005886, GO:0045202, GO:0042803, GO:0042426, GO:0005737, GO:0001507
CCFQ1_DN4360_c0_g1_i6.p1	GO:0016021, GO:0012505, GO:0016020, GO:0008104, GO:0003677
CCFQ1_DN416_c0_g1_i3.p1	GO:0048679, GO:0001228, GO:0015630, GO:0005654, GO:0071363, GO:0005634, GO:0014740, GO:0071499, GO:0016525, GO:1990830, GO:0061629, GO:0032526, GO:0034115, GO:0032717, GO:0001221, GO:0120222, GO:0019827, GO:0010467, GO:0043154, GO:0045429, GO:0032088, GO:0008013, GO:0042826, GO:0035166, GO:0048730, GO:0032270, GO:2000134, GO:0002357, GO:2000342, GO:0090051, GO:1904998, GO:0000978, GO:0001010, GO:0060761, GO:0000791, GO:0060070, GO:0031077, GO:0008544, GO:0070373, GO:0006351, GO:0005667, GO:1904798, GO:0051898, GO:0010628, GO:0014067, GO:0000122, GO:0045944, GO:0035014, GO:0046872, GO:0046985, GO:0061436, GO:0045444, GO:0005829, GO:0051973, GO:0048662, GO:1903672, GO:0031490, GO:1990841, GO:0045595, GO:1902895, GO:0005737, GO:0043551, GO:0009913
CCFQ1_DN40531_c0_g1_i1.p1	GO:0005777, GO:0006310, GO:0005634, GO:0046718, GO:0075713, GO:0015074, GO:0044826, GO:0005515
CCFQ1_DN30999_c0_g1_i1.p1	GO:0050790, GO:0042025, GO:0016021, GO:2000779, GO:0016020, GO:0000729, GO:0140656, GO:0007534, GO:0000736, GO:0005515, GO:0044201
CCFQ1_DN1682_c1_g2_i2.p1	GO:0042391, GO:0006836, GO:0050807, GO:2000300, GO:0098978, GO:0097060, GO:0044325, GO:0031267, GO:0006887
CCFQ1_DN8845_c0_g1_i2.p1	GO:0006406, GO:0043248, GO:0016021, GO:0016020, GO:0000724, GO:0005524
CCFQ1_DN24369_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0042803, GO:0007059, GO:0005737
CCFQ1_DN22495_c0_g1_i1.p1	GO:0005634, GO:0043625, GO:0006271, GO:0003677, GO:0071897, GO:0006260, GO:0003887
CCFQ1_DN2397_c0_g1_i1.p1	GO:0005634, GO:0045746, GO:0061382, GO:0045178, GO:0005112, GO:0035050, GO:0061320, GO:0045807, GO:0008347, GO:0035883, GO:0042694, GO:0009786, GO:0016360, GO:0007405, GO:0045035, GO:0034613, GO:0007406, GO:0005524, GO:0055059, GO:0001920, GO:0010629, GO:0051642, GO:0014019, GO:0005938
CCFQ1_DN10569_c0_g1_i1.p1	GO:0044167, GO:0016021, GO:0044165, GO:0016020, GO:0046740, GO:0055036, GO:0005515
CCFQ1_DN29712_c0_g1_i1.p1	GO:0060474, GO:0005516, GO:2000344, GO:0001669
CCFQ1_DN7702_c0_g2_i1.p1	GO:0007097, GO:0005791, GO:0005640, GO:0016021, GO:0051015, GO:0008360, GO:0005634, GO:0007010, GO:0034993, GO:0140444, GO:0005737, GO:0005635, GO:0090150
CCFQ1_DN16222_c0_g1_i1.p1	GO:0005856, GO:0004712, GO:0035005, GO:0106310, GO:0005929, GO:0035869, GO:0052812, GO:0060271, GO:0036038, GO:0046934, GO:0005524, GO:0005737, GO:0016303, GO:0004674
CCFQ1_DN38632_c0_g1_i1.p1	GO:0005515, GO:0019028, GO:0042025, GO:0016032
CCFQ1_DN11750_c0_g5_i1.p1	GO:0006338, GO:0005634, GO:0000812, GO:0006355, GO:0005184, GO:0000785
CCFQ1_DN16510_c0_g1_i1.p1	GO:0003431, GO:0004888, GO:0005615, GO:0005576, GO:0005515, GO:0098868, GO:0097009, GO:0031012
CCFQ1_DN33338_c0_g1_i1.p1	GO:0002091, GO:0042058, GO:0043408, GO:0042803, GO:0031982
CCFQ1_DN27646_c0_g1_i1.p1	GO:0005628, GO:0034080, GO:0007165, GO:0006355, GO:0007049, GO:0051301, GO:0006915, GO:0008022, GO:0007155
CCFQ1_DN31559_c0_g1_i1.p1	GO:0005634, GO:0005737, GO:0003712, GO:0035721
CCFQ1_DN43061_c0_g1_i1.p1	GO:0000413, GO:0006457, GO:0003755, GO:0005634
CCFQ1_DN29960_c0_g1_i1.p1	GO:0005634, GO:0003714, GO:0010688, GO:0005737, GO:0000785
CCFQ1_DN38352_c0_g1_i1.p1	GO:0030194, GO:0046130, GO:0016021, GO:0046872, GO:0047710, GO:0005886, GO:0007596
CCFQ1_DN549_c0_g2_i1.p1	GO:0005515, GO:0002028, GO:0005886, GO:0016021
CCFQ1_DN44344_c0_g1_i1.p1	GO:0006261, GO:0005663, GO:0003689, GO:0090618, GO:0005634, GO:0006281, GO:0006271, GO:0016887, GO:0005524, GO:0003677, GO:0031391
CCFQ1_DN15473_c0_g1_i4.p1	GO:0032790, GO:0071025, GO:0070651, GO:0046872, GO:0005634, GO:0070481, GO:0004519, GO:0005515, GO:0005737, GO:0070966, GO:0090305
CCFQ1_DN2684_c0_g1_i2.p1	GO:0005739, GO:0003735, GO:0040008, GO:0005840, GO:0005763, GO:0032543, GO:0005737
CCFQ1_DN13661_c0_g1_i1.p1	GO:0008236, GO:0006508, GO:0042803, GO:0005737, GO:0044260
CCFQ1_DN4780_c0_g1_i12.p1	GO:0035442, GO:0016020, GO:0005887, GO:0015031, GO:0071916, GO:1902600, GO:0015252
CCFQ1_DN3052_c0_g1_i2.p1	GO:0005739, GO:0007006, GO:0032049, GO:0008444, GO:0005524, GO:0031966, GO:0005759, GO:0016024
CCFQ1_DN26594_c0_g1_i1.p1	GO:0051607, GO:0016021, GO:0007165, GO:0016020, GO:0040008, GO:0002250, GO:0006959, GO:0005125, GO:0005133, GO:0010508
CCFQ1_DN7551_c0_g1_i1.p1	GO:0016573, GO:0031417, GO:0004596, GO:0017196
CCFQ1_DN3216_c0_g4_i1.p1	GO:0042802, GO:0019695, GO:0003990, GO:0006581, GO:0005615, GO:0005576, GO:0005886, GO:0045202, GO:0040012
CCFQ1_DN14692_c0_g1_i4.p1	GO:0005975, GO:0033916, GO:0042597
CCFQ1_DN6060_c0_g1_i1.p1	GO:0005777, GO:0016021, GO:0006310, GO:0046718, GO:0005778, GO:0075713, GO:0015074, GO:0044826, GO:0005515
CCFQ1_DN8521_c0_g1_i1.p1	GO:0005637, GO:0070197, GO:0005634, GO:0005694, GO:0007129, GO:0000781, GO:0005515, GO:0045141
CCFQ1_DN2503_c0_g1_i2.p1	GO:0032592, GO:0055088, GO:0004672, GO:1903852, GO:0007005, GO:0005743, GO:0005576, GO:0006468, GO:0005524, GO:0010637
CCFQ1_DN6645_c0_g1_i1.p1	GO:0032420, GO:0005856, GO:0016459, GO:0003779, GO:0007605, GO:0120044, GO:0003774, GO:0005938, GO:0034613, GO:0042490, GO:0045202, GO:0005524
CCFQ1_DN8705_c2_g1_i2.p1	GO:0035871, GO:0005634, GO:0004843, GO:0005829, GO:0006511, GO:0070536, GO:0005794, GO:0031647, GO:0004197, GO:0140492
CCFQ1_DN349_c0_g1_i7.p2	GO:0062129, GO:0040003, GO:0008011, GO:0008010
CCFQ1_DN7293_c0_g1_i1.p1	GO:0016021, GO:0046513, GO:0046514, GO:0016020, GO:0005515
CCFQ1_DN20477_c0_g1_i1.p1	GO:0005524, GO:0005886, GO:0031225, GO:0051321
CCFQ1_DN42968_c0_g1_i1.p1	GO:0019076, GO:0005524, GO:0019073, GO:0042025
CCFQ1_DN26819_c0_g1_i1.p1	GO:0046854, GO:0004430, GO:0048015, GO:0005886, GO:0005737
CCFQ1_DN10985_c0_g1_i3.p1	GO:0042391, GO:0050877, GO:0005230, GO:0007165, GO:0004888, GO:0030594, GO:0034220, GO:0007268, GO:0005886, GO:0005887, GO:0045202, GO:0043005, GO:0045211
CCFQ1_DN5628_c0_g2_i1.p1	GO:0000209, GO:0005634, GO:0043161, GO:0031463, GO:0031625, GO:0005737, GO:0030162
CCFQ1_DN26427_c0_g1_i1.p1	GO:0005634, GO:0090305, GO:0043565
CCFQ1_DN31768_c0_g1_i1.p1	GO:0005886, GO:0043065, GO:0005515, GO:0007283
CCFQ1_DN6110_c0_g1_i1.p1	GO:0070935, GO:0005634, GO:0003730, GO:0007283, GO:0032991, GO:0030154, GO:0005737, GO:0005515, GO:0008494, GO:0045948
CCFQ1_DN2855_c0_g1_i3.p1	GO:0005777, GO:0055088, GO:0033540, GO:0005829, GO:0003997, GO:0071949, GO:0005504
CCFQ1_DN31322_c0_g1_i1.p1	GO:0001669, GO:0007342, GO:0005654, GO:0009566, GO:0005829, GO:0035036, GO:0005515, GO:0007340
CCFQ1_DN5758_c0_g1_i3.p1	GO:0140463, GO:0005634, GO:0006281, GO:0006357, GO:0032777, GO:0005515, GO:0006325
CCFQ1_DN10587_c0_g1_i2.p1	GO:0019695, GO:0003990, GO:0006581, GO:0005615, GO:0005576, GO:0005886
CCFQ1_DN15060_c0_g1_i2.p1	GO:0005680, GO:0005634, GO:0005829, GO:0031145, GO:0045842, GO:0007049, GO:0051301, GO:0005515
CCFQ1_DN18474_c0_g1_i1.p1	GO:1904666, GO:0031145, GO:0051445, GO:0051301, GO:0007346, GO:0016567, GO:0051321, GO:0030430, GO:0005515
CCFQ1_DN28456_c0_g1_i1.p1	GO:0031514, GO:0005515, GO:0016032
CCFQ1_DN11674_c0_g1_i1.p1	GO:0045944, GO:0005634, GO:0044323, GO:0048384, GO:0004879, GO:0032526, GO:0008270, GO:0048856, GO:0030154, GO:0043401, GO:0090575, GO:0000122, GO:0003707
CCFQ1_DN1615_c0_g1_i1.p1	GO:0005856, GO:0003779, GO:0030017, GO:0015031, GO:0005737, GO:0035025
CCFQ1_DN29828_c0_g1_i1.p1	GO:0048046, GO:0009506, GO:0005829, GO:0000272, GO:0071555, GO:0030246, GO:0061634
CCFQ1_DN23296_c0_g1_i1.p1	GO:0042025, GO:0003723, GO:0030683, GO:0039502, GO:0030430, GO:0039540
CCFQ1_DN38057_c0_g1_i1.p1	GO:0000413, GO:0016018, GO:0003755, GO:0006457, GO:0043231, GO:0005737
CCFQ1_DN4356_c0_g1_i1.p1	GO:0007399, GO:0008045, GO:0045087, GO:0008083, GO:0002225, GO:0031637, GO:0005615, GO:0005576, GO:0008592, GO:0005121, GO:0008063, GO:0021556, GO:0010941
CCFQ1_DN48_c1_g1_i1.p1	GO:0009755, GO:0000978, GO:0005634, GO:0004879, GO:0009888, GO:0008270, GO:0030522, GO:0006357, GO:0035211, GO:0005515, GO:0090575
CCFQ1_DN9435_c0_g1_i2.p1	GO:0016021, GO:0016760, GO:0000139, GO:0009833, GO:0097502, GO:0005794, GO:0005886, GO:0071555, GO:0030244, GO:0051753
CCFQ1_DN27085_c0_g1_i1.p1	GO:0008289, GO:0016021, GO:0016020, GO:0006869, GO:0016747
CCFQ1_DN168_c0_g1_i1.p1	GO:0045944, GO:0016592, GO:0003712, GO:0005634
CCFQ1_DN43015_c0_g1_i1.p1	GO:0005789, GO:0016021, GO:0019706, GO:0000139, GO:0005886, GO:0005783, GO:0005794, GO:0006612, GO:0018230
CCFQ1_DN21975_c0_g1_i2.p1	GO:0044877, GO:1990166, GO:0005654, GO:0005634, GO:0035861, GO:0006281, GO:0034184, GO:2000781, GO:0031334, GO:0031625, GO:0000785
CCFQ1_DN11181_c0_g1_i1.p1	GO:0030430, GO:0005249, GO:0039592, GO:0042025
CCFQ1_DN2899_c0_g1_i1.p1	GO:0042632, GO:0042635, GO:0021766, GO:0033344, GO:0098868, GO:0042060, GO:0021540, GO:0010977, GO:0016021, GO:0061073, GO:0032911, GO:0008203, GO:0030178, GO:0031012, GO:0003431, GO:0021670, GO:0016020, GO:0060122, GO:0021960, GO:1904761, GO:0043010, GO:0050431, GO:0030512, GO:0005615, GO:0007399, GO:0097009
CCFQ1_DN2237_c1_g1_i2.p1	GO:0016020, GO:0016021, GO:0003677, GO:0051321
CCFQ1_DN16680_c0_g1_i1.p1	GO:0006508, GO:0046872, GO:0035609, GO:0005886, GO:0070062, GO:0016805, GO:0004181, GO:0005737
CCFQ1_DN13316_c0_g1_i1.p1	GO:0004712, GO:0005634, GO:0005524, GO:0006468, GO:0051321, GO:0106310, GO:0004674
CCFQ1_DN6660_c0_g1_i1.p1	GO:0004523, GO:0003964, GO:0006508, GO:0006278, GO:0090502, GO:0042025, GO:0075732, GO:0019028, GO:0003676, GO:0046872, GO:0046718, GO:0046740, GO:0004190
CCFQ1_DN29678_c0_g1_i1.p1	GO:0000422, GO:0034045, GO:0044804, GO:0005829, GO:0000045, GO:0019901, GO:2000786, GO:0034497, GO:0000407, GO:0080025, GO:0019898, GO:0005737, GO:0009267, GO:0032266, GO:0006497
CCFQ1_DN5706_c0_g1_i2.p1	GO:0016021, GO:0004930, GO:0007601, GO:0016020, GO:0009881, GO:0007186, GO:0018298, GO:0007602
CCFQ1_DN18686_c0_g1_i1.p1	GO:0031146, GO:0005515, GO:0019005
CCFQ1_DN33125_c0_g1_i1.p1	GO:0006508, GO:0018996, GO:0004222, GO:0008270, GO:0005576
CCFQ1_DN4369_c0_g1_i2.p1	GO:0045167, GO:0060236, GO:0005634, GO:0019901, GO:0051301, GO:0007049, GO:0032147, GO:0005737, GO:0007088
CCFQ1_DN13814_c0_g1_i1.p1	GO:0070469, GO:0016021, GO:0005739, GO:0009853, GO:0005743, GO:0009793, GO:0008137, GO:0005747
CCFQ1_DN27694_c0_g1_i1.p1	GO:0043410, GO:0006929, GO:0009986, GO:0031258, GO:0001726, GO:0005887, GO:0005886, GO:0010977, GO:0008347, GO:0016324, GO:0015026, GO:0008283, GO:0019901, GO:0016322, GO:0048771, GO:0097178, GO:0006954, GO:0010226, GO:0030154, GO:0048008, GO:0001525, GO:0035556, GO:0005518, GO:0050731
CCFQ1_DN13955_c0_g1_i1.p1	GO:0032956, GO:0043410, GO:0051015, GO:0005634, GO:0000082, GO:0043087, GO:0005096, GO:0008361, GO:0001934, GO:0070856, GO:0033601, GO:0031267, GO:0010628, GO:0007265, GO:0071310, GO:0010629, GO:0070371, GO:0005829, GO:0005516, GO:0005737
CCFQ1_DN38092_c0_g1_i1.p1	GO:0035591, GO:0000978, GO:0009898, GO:0005634, GO:0005829, GO:0008270, GO:0007311, GO:0005886, GO:0042803, GO:0006357, GO:0008063, GO:0000981, GO:0002218
CCFQ1_DN2782_c0_g1_i2.p1	GO:0060388, GO:0007343, GO:0009617, GO:0007304, GO:0042302, GO:0007305, GO:0005576
CCFQ1_DN18076_c0_g1_i2.p1	GO:0047473, GO:0005737, GO:0005524, GO:0070395
CCFQ1_DN15480_c0_g1_i1.p1	GO:0032956, GO:0046628, GO:0051897, GO:0038203, GO:0034504, GO:0045793, GO:0031932, GO:0038202, GO:0050896, GO:0031931, GO:0005737, GO:0005515, GO:0061586
CCFQ1_DN6312_c0_g1_i1.p1	GO:0005856, GO:0097730, GO:0042073, GO:0043021, GO:0016020, GO:1905515, GO:0005515, GO:0034464, GO:0003729, GO:0043005, GO:0015031, GO:0036064, GO:0005930, GO:0005737, GO:1904107, GO:0006935
CCFQ1_DN41115_c0_g1_i1.p1	GO:0015485, GO:0005764, GO:0033344, GO:0008203, GO:0032367, GO:0005576, GO:0005783
CCFQ1_DN6367_c0_g1_i1.p1	GO:0002080, GO:0005802, GO:0016021, GO:0001669, GO:0000287, GO:0090555, GO:0016887, GO:0005886, GO:0045332, GO:0140345, GO:0005524, GO:0007030
CCFQ1_DN23191_c0_g1_i2.p1	GO:0000303, GO:0040014, GO:0050829, GO:0045087, GO:0016491, GO:0005739, GO:0070482, GO:0009792, GO:0040010, GO:0032504, GO:0009411
CCFQ1_DN12839_c0_g1_i2.p1	GO:0043565, GO:0005634, GO:0030154, GO:0006357, GO:0000981, GO:0042742
CCFQ1_DN22696_c0_g1_i1.p1	GO:0005856, GO:0007165, GO:0005829, GO:0005886, GO:0042803, GO:0005524, GO:0005737, GO:0004674
CCFQ1_DN19499_c0_g1_i1.p1	GO:0006310, GO:0005739, GO:0005634, GO:0005762, GO:0000002, GO:0003735, GO:0032543, GO:0090297, GO:0000150, GO:0003697
CCFQ1_DN22730_c0_g1_i1.p1	GO:0005634, GO:0030674, GO:0005829, GO:0016192
CCFQ1_DN23254_c0_g1_i1.p1	GO:0016021, GO:0005739, GO:0015267, GO:0005743, GO:0006067
CCFQ1_DN27016_c0_g1_i1.p1	GO:0006897, GO:0005829, GO:0030139, GO:0042147, GO:0008104, GO:0005515
CCFQ1_DN41684_c0_g1_i1.p1	GO:0005509, GO:0021987, GO:0005576, GO:0030154, GO:0007219, GO:0005737, GO:0005112, GO:0045747
CCFQ1_DN11350_c0_g1_i2.p1	GO:0005262, GO:0005254, GO:1902476, GO:0034707, GO:0004222, GO:0005615, GO:0005576, GO:0005886, GO:0005244, GO:0070588, GO:0034765
CCFQ1_DN5781_c0_g1_i1.p1	GO:0006937, GO:0050877, GO:0031594, GO:0007165, GO:0004888, GO:0090326, GO:0007271, GO:0040011, GO:0022848, GO:0098703, GO:0005886, GO:0005887, GO:0043005, GO:0009791, GO:0060079, GO:0045211, GO:0046662
CCFQ1_DN11437_c0_g1_i1.p1	GO:0005739, GO:0005634, GO:0005741, GO:0006511, GO:0016567, GO:0003729, GO:0031625, GO:0005737, GO:0031386
CCFQ1_DN36376_c0_g1_i1.p1	GO:0051607, GO:0032728, GO:0045087, GO:0005654, GO:0005634, GO:0005666, GO:0045089, GO:0006351, GO:0003697
CCFQ1_DN13023_c0_g1_i1.p1	GO:0015986, GO:0045261, GO:0046933, GO:0045259, GO:0005886, GO:0005524, GO:0046961, GO:1902600
CCFQ1_DN2970_c0_g1_i2.p1	GO:0046854, GO:0004430, GO:0016310, GO:0048015, GO:0005886, GO:0005737
CCFQ1_DN3527_c0_g1_i3.p1	GO:0016021, GO:0007283, GO:0005509, GO:0045938, GO:0005886, GO:0030154, GO:0070328, GO:0048477
CCFQ1_DN15314_c0_g2_i1.p1	GO:0000325, GO:0009570, GO:0046872, GO:0042572, GO:0009506, GO:0005829, GO:0016702, GO:0005886, GO:0004497, GO:0005794, GO:0005737
CCFQ1_DN12728_c0_g1_i2.p1	GO:0006457, GO:0140662, GO:0005524, GO:0005634
CCFQ1_DN25163_c0_g1_i1.p2	GO:0005198, GO:0019033, GO:0044177, GO:0007049, GO:0051301, GO:0016567, GO:0030430
CCFQ1_DN31685_c0_g1_i1.p1	GO:0001873, GO:0045087, GO:0004553, GO:0005576, GO:0002752, GO:0005975, GO:0001872
CCFQ1_DN31376_c0_g1_i1.p1	GO:0010764, GO:0005929, GO:1900016, GO:0070121, GO:0035869, GO:0061041, GO:0030291, GO:0019901, GO:0050728, GO:0060271, GO:0006954, GO:0015031, GO:0005737, GO:0010760
CCFQ1_DN1532_c0_g1_i3.p1	GO:0140680, GO:0042995, GO:0005506, GO:0034647, GO:0005886, GO:0033111, GO:0020035
CCFQ1_DN17042_c0_g1_i1.p1	GO:0010780, GO:0005634, GO:0005829, GO:0051321, GO:0005515
CCFQ1_DN8831_c0_g1_i1.p1	GO:0016020, GO:0016021, GO:0003677, GO:0051321
CCFQ1_DN33936_c0_g1_i1.p1	GO:0008584, GO:0005634, GO:0030534, GO:0009566, GO:0005737, GO:0005515
CCFQ1_DN30435_c0_g1_i1.p1	GO:0042802, GO:0007218, GO:0005615, GO:0005576, GO:0043621
CCFQ1_DN32354_c0_g1_i1.p1	GO:0005634, GO:0005829, GO:0000340, GO:0003729, GO:0005846, GO:0000184
CCFQ1_DN3686_c0_g1_i1.p1	GO:0005085, GO:0050790, GO:0046903, GO:0032012, GO:0007005, GO:0000137, GO:0005793, GO:0007029, GO:0005794, GO:0016197, GO:0070971
CCFQ1_DN8483_c0_g1_i1.p1	GO:0030382, GO:1905146, GO:0007626, GO:0006623, GO:0045053, GO:0035176, GO:0005576, GO:0006914, GO:0007399, GO:0005515, GO:0006895, GO:0030317
CCFQ1_DN1571_c0_g1_i2.p1	GO:0045905, GO:0006412, GO:0006414, GO:0003723, GO:0003746, GO:0006413, GO:0005737, GO:0003743, GO:0043022, GO:0045901
