PAVE1_DN73601_c0_g1_i1.p1	GO:0005634, GO:0051059, GO:0051092
PAVE1_DN49731_c0_g1_i1.p1	GO:0003968, GO:0001172, GO:0030430
PAVE1_DN34153_c0_g1_i1.p1	GO:0003682, GO:0043505, GO:0043240, GO:0005634, GO:0051321, GO:0003690, GO:0000712, GO:0045003, GO:0071821, GO:0046982, GO:0031297
PAVE1_DN22589_c0_g1_i1.p1	GO:0098670, GO:0046718, GO:0005496, GO:0005576
PAVE1_DN16302_c0_g1_i1.p1	GO:0020037, GO:0005789, GO:0004497, GO:0005506, GO:0007618, GO:0016705, GO:0005783
PAVE1_DN16283_c0_g1_i2.p1	GO:0008270, GO:0006508, GO:0004222, GO:0018996, GO:0005576
PAVE1_DN5447_c0_g1_i6.p1	GO:0042995, GO:0006904, GO:0031252, GO:0016241, GO:0005737, GO:0090522, GO:0007032, GO:0090148, GO:0015031, GO:0000145, GO:0000281, GO:0005770, GO:0035091, GO:0005886, GO:0006893, GO:0030426, GO:0031267, GO:0022617, GO:0048471, GO:0005829, GO:0034613, GO:0006887
PAVE1_DN60159_c0_g1_i1.p1	GO:0004930, GO:0007186, GO:0005886, GO:0016021
PAVE1_DN68422_c0_g1_i1.p1	GO:0106310, GO:0004674, GO:0004713, GO:0005634, GO:0032933, GO:1905342, GO:0005829, GO:0007049, GO:0005737, GO:0018108, GO:0051301, GO:0051984, GO:0005524, GO:0004712
PAVE1_DN15552_c0_g1_i2.p1	GO:0046872, GO:0005615, GO:0010951, GO:0008191, GO:0010033, GO:0005576, GO:0051045, GO:0031012, GO:0002020
PAVE1_DN839_c0_g1_i1.p1	GO:0040014, GO:0003713, GO:0030730, GO:0002119, GO:0040011, GO:0005634, GO:0016592, GO:0019217, GO:0016922, GO:0008340, GO:0045893, GO:0009792, GO:0006357
PAVE1_DN3836_c0_g1_i2.p1	GO:0005737, GO:0007155, GO:0005524, GO:0006979
PAVE1_DN15021_c0_g1_i2.p1	GO:0004715, GO:0004712, GO:0007283, GO:0045087, GO:0030154, GO:0007286, GO:0005737, GO:0007169, GO:0018108, GO:0031234, GO:0005886, GO:0005524, GO:0005102
PAVE1_DN76555_c0_g1_i1.p1	GO:0016740, GO:0005634, GO:0006749, GO:0005737
PAVE1_DN40702_c0_g1_i1.p1	GO:0005615, GO:0008233, GO:0005576, GO:0007267, GO:0005886, GO:0016539, GO:0009986, GO:0048731, GO:0016540
PAVE1_DN21824_c0_g1_i1.p1	GO:0032496, GO:0019901, GO:0006397, GO:0005654, GO:0005634, GO:0070935, GO:0006954, GO:0035925
PAVE1_DN9825_c0_g1_i1.p1	GO:0032589, GO:0050808, GO:0098632, GO:0005576
PAVE1_DN3596_c0_g2_i4.p1	GO:0015078, GO:0016021, GO:0039707, GO:1902600, GO:0016020, GO:0005216, GO:0051259, GO:0055036, GO:0039521, GO:0044385, GO:0020002
PAVE1_DN79589_c0_g1_i1.p1	GO:0050881, GO:0030509, GO:0009306, GO:0006915, GO:0005509, GO:0005499, GO:0097084, GO:0035988, GO:0062023, GO:0043066, GO:0003417, GO:0010468, GO:0070527, GO:0048844, GO:0005201, GO:0002063, GO:0008201, GO:0005518, GO:0005576, GO:1900047, GO:0005178, GO:0010259, GO:1990079, GO:0030199, GO:0030500, GO:0060173, GO:0060349, GO:0043395, GO:0035989, GO:0032991, GO:0036122, GO:0001968, GO:0002020, GO:0006986, GO:0030282, GO:0001503, GO:0005615, GO:0007596, GO:0014829, GO:0001501, GO:0016485, GO:0003416, GO:1902732, GO:0043588, GO:0035264, GO:0051260
PAVE1_DN1240_c1_g1_i2.p1	GO:0006334, GO:0005634, GO:0000786, GO:0046982, GO:0005694, GO:0003677, GO:0007526, GO:0030527
PAVE1_DN57393_c0_g1_i3.p1	GO:0032589, GO:0050808, GO:0050839, GO:0005576, GO:0044877
PAVE1_DN11195_c0_g1_i3.p1	GO:0005634, GO:0042274, GO:0042273, GO:0005730, GO:0003677, GO:0003723
PAVE1_DN59830_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0006915, GO:0005794, GO:0000139, GO:0005929, GO:0042771
PAVE1_DN1042_c0_g1_i1.p1	GO:0005615, GO:0004867, GO:0010951, GO:0051412, GO:0030154, GO:0005576, GO:0032991, GO:0019870, GO:0045071, GO:0002020
PAVE1_DN61214_c0_g1_i1.p1	GO:0016020, GO:0030104, GO:0035002, GO:0035725, GO:0015280, GO:0005887
PAVE1_DN22690_c0_g1_i1.p1	GO:0019563, GO:0006094, GO:0046166, GO:0042803, GO:0005737, GO:0005829, GO:0004807, GO:0008929, GO:0006096, GO:0019242
PAVE1_DN15285_c0_g1_i1.p2	GO:0006364, GO:0034101, GO:0022627, GO:0022626, GO:0042274, GO:0003735, GO:0006412
PAVE1_DN77768_c0_g1_i1.p1	GO:0005615, GO:0042802, GO:1903053, GO:0005576, GO:1901346, GO:0062023, GO:0005102
PAVE1_DN60506_c0_g1_i1.p2	GO:0005515, GO:0007283, GO:0043065, GO:0005634, GO:0005777
PAVE1_DN15295_c0_g1_i3.p1	GO:0016021, GO:0005515, GO:0048730, GO:0002119, GO:0016020, GO:0005737, GO:0007411, GO:0016477, GO:0030054, GO:0009986, GO:0009792
PAVE1_DN38225_c0_g1_i1.p1	GO:0005515, GO:0030198, GO:0005576, GO:0004222, GO:0031012, GO:0043231
PAVE1_DN46163_c0_g1_i1.p1	GO:0046597, GO:0008270, GO:0070534, GO:0006513, GO:0044790, GO:0005515, GO:0061630, GO:0005654, GO:0045087, GO:0000785, GO:0005737, GO:0032728, GO:0034340, GO:0060340, GO:0045893
PAVE1_DN8833_c0_g1_i4.p1	GO:0046872, GO:0016021, GO:0007596, GO:0005886, GO:0030194, GO:0047710
PAVE1_DN21703_c0_g1_i1.p1	GO:0016021, GO:0140042, GO:0005811, GO:0005515, GO:0005789, GO:0005783
PAVE1_DN14901_c0_g1_i1.p1	GO:0004860, GO:0005654, GO:0005634, GO:0031063, GO:0140672, GO:0044154, GO:0051302, GO:0010628, GO:0005737, GO:0043086, GO:0005730, GO:0006357, GO:0090043, GO:0072686, GO:0045995, GO:0042802, GO:0005829, GO:0051726, GO:0046330
PAVE1_DN29756_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0005634, GO:0005774, GO:0000324, GO:0005737, GO:0007049
PAVE1_DN549_c0_g1_i2.p1	GO:0005515, GO:0016021, GO:0016020, GO:0005031, GO:0007166
PAVE1_DN49222_c0_g1_i1.p1	GO:0039653, GO:0005840, GO:0003677, GO:0005737
PAVE1_DN16757_c0_g1_i1.p1	GO:0006914, GO:0016021, GO:0005547, GO:0006979, GO:0006915, GO:0051560, GO:0005737, GO:0005829, GO:0031966, GO:0005783, GO:0005739
PAVE1_DN10274_c0_g1_i1.p1	GO:0005515, GO:0007283, GO:0007286, GO:0030154, GO:0005930, GO:0036158, GO:0003341
PAVE1_DN46823_c0_g1_i1.p1	GO:0046872, GO:0005634, GO:0000977, GO:0051153, GO:0005694, GO:0000981, GO:0006357
PAVE1_DN22026_c0_g1_i1.p1	GO:0031146, GO:0005515, GO:0019005
PAVE1_DN21447_c0_g2_i3.p1	GO:0097228, GO:0030317, GO:0017124, GO:0001669, GO:0061966, GO:0097728, GO:0005516, GO:0036126
PAVE1_DN77565_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0031965, GO:0005634, GO:0008285, GO:0005737
PAVE1_DN59077_c0_g1_i1.p1	GO:0005634, GO:0009399, GO:0005125, GO:0005829, GO:0005126
PAVE1_DN5241_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0005794, GO:0042802, GO:0000138, GO:0006890
PAVE1_DN8227_c0_g1_i1.p1	GO:0045493, GO:0030246, GO:0080176, GO:0061634, GO:0010411, GO:0009044, GO:0005829, GO:0009506, GO:0048046, GO:0071555, GO:0046686, GO:0046556, GO:0009505, GO:0005739
PAVE1_DN301_c1_g1_i1.p1	GO:0008117, GO:0016021, GO:0006665, GO:0005789, GO:0090332, GO:0042392, GO:0009737, GO:0005783, GO:0046839
PAVE1_DN18676_c0_g1_i1.p1	GO:0039563, GO:0046872, GO:0030430, GO:0039554, GO:0039502, GO:0030683
PAVE1_DN1513_c0_g1_i5.p1	GO:0007018, GO:0005874, GO:0005856, GO:0008569, GO:0051959, GO:0005737, GO:0016887, GO:0060285, GO:0005524, GO:0045505, GO:0005929, GO:0005858
PAVE1_DN27015_c0_g1_i1.p1	GO:0005515, GO:0005634, GO:0005737, GO:0008180, GO:0006511
PAVE1_DN4877_c0_g1_i3.p1	GO:0045022, GO:0031902, GO:0031313, GO:0005768, GO:0031901, GO:0043551, GO:0005829, GO:0035014
PAVE1_DN36735_c0_g1_i1.p1	GO:0007218, GO:0005886, GO:0008528, GO:0005887
PAVE1_DN67784_c0_g1_i1.p1	GO:0008327, GO:0005634, GO:0030154, GO:0009887, GO:0045944, GO:0000977, GO:0009948, GO:0000981
PAVE1_DN57781_c0_g1_i1.p1	GO:0046872, GO:0016020, GO:0007165, GO:0043547, GO:0045202, GO:0005096
PAVE1_DN48069_c0_g1_i1.p1	GO:0016021, GO:0003829, GO:0042403, GO:0005794, GO:0016266, GO:0048872, GO:0048729, GO:0060993, GO:0000139, GO:0005975, GO:0002121, GO:0008109
PAVE1_DN5394_c0_g1_i1.p1	GO:0005886, GO:0090136, GO:0016021, GO:0005515
PAVE1_DN28018_c0_g1_i1.p1	GO:0046487, GO:0046872, GO:0016021, GO:0006491, GO:0006487, GO:0008454, GO:0005794, GO:0008453, GO:0042803, GO:0000139, GO:0005795, GO:0005793, GO:0005783, GO:0005777
PAVE1_DN46615_c0_g1_i1.p1	GO:0005802, GO:0005798, GO:0005654, GO:0005794, GO:0005737, GO:0048471, GO:0005768, GO:0006897, GO:0005886, GO:0030136, GO:0030276, GO:0030125, GO:0005543
PAVE1_DN4247_c0_g1_i1.p1	GO:0046872, GO:0051537, GO:0140647, GO:0005829, GO:0009055, GO:0005739
PAVE1_DN2130_c0_g1_i18.p1	GO:0002168, GO:0035220, GO:0005634, GO:0051219, GO:0000785, GO:0006325, GO:0046975, GO:0005694, GO:0003677, GO:0035076, GO:0010452, GO:0006355
PAVE1_DN80240_c0_g1_i1.p1	GO:0030154, GO:0005509, GO:0005515, GO:0005576
PAVE1_DN27983_c0_g1_i1.p1	GO:0008270, GO:0004540, GO:0005654, GO:0005634, GO:0046061, GO:0097197, GO:0006203, GO:0005694, GO:0060339, GO:0003697, GO:0003723, GO:0032567, GO:0090501, GO:0051289, GO:0005525, GO:0016446, GO:0042802, GO:0110025, GO:0005886, GO:0008832, GO:0035861, GO:0045087, GO:0051607, GO:0106375, GO:0006260, GO:0000724
PAVE1_DN40241_c0_g1_i1.p1	GO:0005634, GO:0048306, GO:0045892, GO:0005829
PAVE1_DN53128_c0_g1_i1.p1	GO:0005788, GO:0000774, GO:0042802, GO:0015031, GO:0005783
PAVE1_DN64361_c0_g1_i1.p1	GO:0005515, GO:0030534, GO:0005634, GO:0005737, GO:0009566, GO:0008584
PAVE1_DN83919_c0_g1_i1.p1	GO:0046872, GO:0016021, GO:0005634, GO:0005774, GO:0000324, GO:0005737, GO:0007049, GO:0004517, GO:0005516
PAVE1_DN58269_c0_g1_i1.p1	GO:0005634, GO:0005515, GO:0007283, GO:0005737
PAVE1_DN2761_c2_g1_i1.p1	GO:0032589, GO:0050808, GO:0098632, GO:0005576
PAVE1_DN6824_c0_g1_i2.p1	GO:0000781, GO:0005634, GO:0042162, GO:0000782, GO:0030683, GO:0005694, GO:0000775, GO:0039503
PAVE1_DN62141_c0_g1_i1.p1	GO:0019082, GO:0005787, GO:0019068, GO:0045047, GO:0005789, GO:0043022, GO:0006465, GO:0005783, GO:0030176
PAVE1_DN46254_c0_g1_i1.p1	GO:0030150, GO:0003723, GO:0005758, GO:0005739
PAVE1_DN42503_c0_g1_i1.p1	GO:0019901, GO:0000722, GO:0005634, GO:0000408, GO:0002949, GO:0005737, GO:0005829
PAVE1_DN36712_c0_g1_i1.p1	GO:0016021, GO:0005615, GO:0043236, GO:0016020, GO:0062023, GO:0046813, GO:0005518, GO:0001968, GO:1903077, GO:0030335, GO:0009986
PAVE1_DN46129_c0_g1_i3.p1	GO:0005615, GO:0005515, GO:0098868, GO:0097009, GO:0005576, GO:0007399
PAVE1_DN48999_c0_g1_i1.p1	GO:0005615, GO:0046688, GO:0005125, GO:0001660, GO:0007165, GO:0005576, GO:0001819, GO:0005829, GO:0005737, GO:0005507, GO:0005149, GO:0034605, GO:0006955, GO:0051781
PAVE1_DN26263_c0_g1_i1.p1	GO:0016021, GO:0033036, GO:0005794, GO:0045332, GO:0005886, GO:0003677, GO:0005783
PAVE1_DN865_c0_g1_i9.p1	GO:0051286, GO:0140278, GO:0048306, GO:0005737, GO:0005829, GO:0007049, GO:0000935, GO:0051301, GO:0032153
PAVE1_DN6261_c0_g1_i1.p1	GO:0015012, GO:1990569, GO:0015786, GO:0005460, GO:0005456, GO:0012505, GO:0005461, GO:0005458, GO:0005464, GO:0005457, GO:0008643, GO:0015782, GO:1990570, GO:0036066, GO:0036084, GO:0030173, GO:0015787, GO:0005794, GO:0005789, GO:0015790, GO:0005462, GO:0005783, GO:0030176
PAVE1_DN10499_c0_g3_i3.p1	GO:0016021, GO:0005125, GO:0016020, GO:0016032, GO:0005126
PAVE1_DN2558_c0_g3_i2.p1	GO:0005634, GO:0003677, GO:0007417
PAVE1_DN24709_c0_g1_i1.p1	GO:0008168, GO:0005634, GO:0006479, GO:0005737
PAVE1_DN264_c0_g2_i1.p1	GO:0006888, GO:0005802, GO:0016021, GO:0005515, GO:0048280, GO:0005794, GO:0005789, GO:0060628, GO:0015031, GO:0005783
PAVE1_DN81121_c0_g1_i2.p1	GO:0003924, GO:0005515, GO:0005525, GO:0005886, GO:0007264
PAVE1_DN3791_c0_g1_i1.p1	GO:0016021, GO:0007218, GO:0016020, GO:1905885, GO:2000294, GO:0010877, GO:1904731, GO:0008188
PAVE1_DN18450_c0_g1_i2.p1	GO:0043005, GO:0045211, GO:0042391, GO:1902476, GO:0005230, GO:0005254, GO:0007165, GO:0034707, GO:0007268, GO:0005886, GO:0045202, GO:0007214, GO:1902711, GO:0004890, GO:0050877, GO:0005887, GO:0030594
PAVE1_DN12788_c0_g1_i1.p1	GO:0004722, GO:0043231, GO:0007165, GO:0005737
PAVE1_DN2236_c1_g1_i6.p1	GO:0004630, GO:0016021, GO:0016020, GO:0016042, GO:0070290
PAVE1_DN9502_c0_g2_i1.p1	GO:0005515, GO:0016021, GO:0040024, GO:0016020, GO:0020002
PAVE1_DN9827_c0_g1_i1.p1	GO:0031990, GO:0051015, GO:0000346, GO:0000347
PAVE1_DN64473_c0_g1_i1.p1	GO:0030100, GO:1901562, GO:0005887, GO:0022848, GO:0061771, GO:0031410, GO:0050877, GO:0007165, GO:0006897, GO:0008340, GO:0045202, GO:0004888, GO:0060079, GO:1901046, GO:0030659, GO:0098794, GO:0043005, GO:0034220, GO:0007268
PAVE1_DN17084_c0_g2_i1.p1	GO:0019955, GO:0016021, GO:0016020, GO:0038023, GO:0039652
PAVE1_DN6541_c1_g2_i2.p1	GO:0005634, GO:0005737, GO:0005829, GO:0051087, GO:0006457, GO:0050821, GO:0010619
PAVE1_DN11724_c1_g1_i1.p1	GO:0005634, GO:0051321, GO:0042802, GO:0042138, GO:0000794, GO:0007131
PAVE1_DN48352_c0_g1_i1.p1	GO:0090314, GO:0044325, GO:0010360, GO:0005886, GO:0030054, GO:0030335
PAVE1_DN8563_c0_g2_i1.p2	GO:0005515, GO:0099503, GO:0042277, GO:0005576, GO:0009506, GO:0071555, GO:0005199, GO:0009505
PAVE1_DN4857_c0_g1_i4.p1	GO:0019233, GO:0051209, GO:0009410, GO:0005245, GO:0050968, GO:0035774, GO:0098908, GO:0071310, GO:0016324, GO:1904058, GO:0070301, GO:0005887, GO:1903793, GO:0006874, GO:0051289, GO:1990760, GO:1903522, GO:0070417, GO:0048265, GO:0042802, GO:0050966, GO:0005886, GO:0032421, GO:0007166, GO:0014832, GO:0015278, GO:0030424, GO:0097604, GO:0034605, GO:0050955, GO:0071244, GO:0014070
PAVE1_DN43266_c0_g1_i1.p1	GO:0097202, GO:0005634, GO:0089720, GO:0030155, GO:0008303, GO:0050829, GO:0005737, GO:0008361, GO:0008656, GO:0040034, GO:1902742, GO:0000287, GO:0005739, GO:0051432, GO:0043531, GO:1900118, GO:0006919, GO:0042802, GO:0005524, GO:0009792, GO:0046716, GO:0031647, GO:0061133, GO:0016020, GO:1904747, GO:0048471, GO:0005829, GO:0048598, GO:1905808, GO:0051434, GO:0030042, GO:0010954
PAVE1_DN7856_c1_g2_i1.p1	GO:0020037, GO:0016021, GO:0016020, GO:0008395, GO:0005737, GO:0005506, GO:0006805, GO:0016712, GO:0006082, GO:0043231
PAVE1_DN640_c0_g1_i9.p1	GO:0002168, GO:0035220, GO:0005634, GO:0051219, GO:0000785, GO:0006325, GO:0046975, GO:0005694, GO:0003677, GO:0035076, GO:0010452, GO:0006355
PAVE1_DN50814_c0_g1_i1.p1	GO:0004866, GO:0005576, GO:0010951, GO:0051930
PAVE1_DN4477_c0_g1_i4.p1	GO:0005615, GO:0005515, GO:0005201, GO:0008285, GO:0005576, GO:0030199, GO:0007155
PAVE1_DN70502_c0_g1_i1.p1	GO:0046872, GO:0008449, GO:0005515, GO:0043202, GO:0043199, GO:0042340, GO:1904813, GO:0005576, GO:0005539, GO:0070062, GO:0035578, GO:0005764
PAVE1_DN1878_c0_g1_i5.p1	GO:0006468, GO:0016021, GO:0016020, GO:0043657, GO:0055036, GO:0016787, GO:0044177, GO:0019031, GO:0044156, GO:0044178, GO:0020002
PAVE1_DN4228_c0_g1_i3.p1	GO:0015870, GO:0007271, GO:0008270, GO:0007529, GO:0006836, GO:0045214, GO:0007626, GO:0008092, GO:0005737, GO:0040017, GO:0005886, GO:0016010, GO:0045202, GO:0005277, GO:0016014, GO:0032224, GO:0046716
PAVE1_DN48786_c0_g1_i1.p1	GO:0020037, GO:0008074, GO:0007610, GO:0009454, GO:0046872, GO:0019826, GO:0050829, GO:0005737, GO:0030425, GO:0005525, GO:0070026, GO:0004383, GO:0043025, GO:0055093, GO:0006182, GO:0019934, GO:0070025
PAVE1_DN14538_c0_g2_i1.p1	GO:0016021, GO:0005515, GO:0016020, GO:0075520, GO:0019076, GO:0020002
PAVE1_DN1477_c0_g1_i17.p1	GO:0046872, GO:0045087, GO:0005634, GO:0051607, GO:0005737, GO:0070403, GO:0005829, GO:0070212, GO:0003950, GO:0045071, GO:0045296, GO:1990404, GO:0003723, GO:0061014
PAVE1_DN17035_c0_g1_i3.p1	GO:0015293, GO:0046872, GO:0015179, GO:0035725, GO:0005886, GO:0015807, GO:1902475, GO:0005887
PAVE1_DN46273_c0_g1_i1.p1	GO:0046693, GO:0050660, GO:0140762, GO:0005576, GO:0006006, GO:0008364
PAVE1_DN35854_c0_g1_i1.p1	GO:0006979, GO:0005634, GO:0005737, GO:0005829, GO:0016836
PAVE1_DN46965_c0_g1_i1.p1	GO:0031315, GO:0005515, GO:0007005, GO:0019005, GO:0031146, GO:0005739
PAVE1_DN28791_c0_g1_i1.p1	GO:0016021, GO:0045211, GO:0022848, GO:0034220, GO:0005886, GO:0045202, GO:0004888, GO:0060079
PAVE1_DN5651_c0_g1_i3.p1	GO:0016020, GO:0005515, GO:0016021, GO:0006970
PAVE1_DN3757_c0_g1_i1.p1	GO:0097361, GO:0016226, GO:0005515
PAVE1_DN36882_c0_g1_i1.p1	GO:0004888, GO:0016020, GO:0007165, GO:0005887
PAVE1_DN37237_c0_g1_i1.p1	GO:1904878, GO:0005546, GO:0005545, GO:0001786, GO:0005515, GO:0080025, GO:0045111, GO:0043325, GO:0034704, GO:0031210, GO:0070273, GO:0010314, GO:0032266, GO:0070300
PAVE1_DN14955_c0_g1_i1.p1	GO:0071916, GO:0140206, GO:1902600, GO:0005427, GO:0016324, GO:0015333, GO:0005886, GO:0016248, GO:0015031, GO:0051956, GO:0005887, GO:0005903
PAVE1_DN46340_c0_g1_i2.p1	GO:0031062, GO:0071168, GO:0050790, GO:0005515, GO:0045815, GO:0005634, GO:0006325
PAVE1_DN44973_c0_g1_i1.p1	GO:0005615, GO:0007596, GO:0045959, GO:0045732, GO:0005515, GO:1903027, GO:0045087, GO:0006958, GO:0005576, GO:0009609, GO:0005886
PAVE1_DN51611_c0_g1_i1.p1	GO:0005515, GO:0030430, GO:0042025, GO:0007049, GO:0019033, GO:0044177
PAVE1_DN27903_c0_g1_i1.p1	GO:0001939, GO:0040016, GO:0001940, GO:1901536, GO:0005737, GO:0006325, GO:2000653, GO:0044726, GO:0035064
PAVE1_DN2599_c0_g1_i1.p1	GO:0046966, GO:0061630, GO:0016567, GO:0003713, GO:0032968, GO:0005654, GO:0005634, GO:0016592, GO:0070847, GO:0051123, GO:0019827, GO:0000151, GO:0060261
PAVE1_DN42165_c0_g1_i1.p1	GO:0050728, GO:0071638, GO:0045444, GO:0042802, GO:1901223, GO:0035356, GO:0070165, GO:0032715, GO:0001819, GO:0005576, GO:0005581, GO:0045721
PAVE1_DN2794_c0_g2_i5.p1	GO:0071930, GO:2000134, GO:0000122, GO:0070365, GO:0005634, GO:0008285, GO:0002040, GO:0032466, GO:0090575, GO:0007049, GO:0032877, GO:0001217, GO:0000978, GO:0030330, GO:0060718, GO:0000981
PAVE1_DN8848_c0_g1_i2.p1	GO:0005840, GO:0005763, GO:0003723, GO:0032543, GO:0005743, GO:0003735, GO:0005730, GO:0019904, GO:0005739
PAVE1_DN2436_c0_g1_i9.p1	GO:0061371, GO:0007283, GO:0003305, GO:0003146, GO:0060027, GO:0035082, GO:0001947, GO:0060271, GO:0048793, GO:0005930, GO:0070840, GO:0036159, GO:0003314, GO:0005929, GO:0036158, GO:0007369
PAVE1_DN13578_c0_g1_i2.p1	GO:0005737, GO:0006413, GO:0016887, GO:0006412, GO:0005524, GO:0003743, GO:0003724, GO:0003723
PAVE1_DN7900_c0_g1_i4.p1	GO:0005515, GO:0005634, GO:0007165, GO:0005829, GO:0005739
PAVE1_DN51919_c0_g1_i1.p1	GO:0019028, GO:0098021, GO:0006281, GO:0016755
PAVE1_DN4028_c1_g2_i3.p1	GO:0005856, GO:0046872, GO:0005737, GO:0060271, GO:0036064, GO:0030425, GO:0005814, GO:0035869
PAVE1_DN9872_c0_g1_i1.p1	GO:0039700, GO:0016021, GO:0005515, GO:0044175, GO:0016020, GO:0044174, GO:0060141, GO:0044177, GO:0044178, GO:0020002
PAVE1_DN19394_c0_g1_i1.p1	GO:0033674, GO:0004712, GO:0043235, GO:0004714, GO:0048680, GO:0031435, GO:0038083, GO:0007169, GO:0005886, GO:0005524, GO:0005887, GO:0043410, GO:0048731, GO:0031103
PAVE1_DN12320_c4_g1_i1.p1	GO:0006814, GO:0005634, GO:0005515, GO:0005737
PAVE1_DN38596_c0_g1_i1.p1	GO:0031315, GO:0005515, GO:0007005, GO:0019005, GO:0031146, GO:0003677, GO:0005739
PAVE1_DN1329_c0_g2_i1.p1	GO:0106310, GO:0006468, GO:0004712, GO:0007346, GO:0007276, GO:0005634, GO:0005737, GO:0005524, GO:0004693, GO:0040019
PAVE1_DN6406_c0_g1_i1.p1	GO:0016021, GO:0045087, GO:0016020, GO:0001530, GO:0002758, GO:0002221, GO:0005975, GO:0052736, GO:0001872, GO:0038187
PAVE1_DN1621_c0_g1_i1.p1	GO:0031511, GO:0051310, GO:0005515, GO:0005654, GO:0005634, GO:1905342, GO:0005829, GO:0005694, GO:0000775, GO:0015629
PAVE1_DN5536_c0_g1_i1.p1	GO:0034719, GO:0000387, GO:0034715, GO:0005654, GO:0005634, GO:0071007, GO:0005687, GO:0005682, GO:0000398, GO:0003723, GO:1990446, GO:0005737, GO:0005689, GO:0036261, GO:0005686, GO:0005515, GO:0070062, GO:0034709, GO:0005829, GO:0071005, GO:1903241, GO:0046540, GO:0005685
PAVE1_DN539_c0_g2_i1.p1	GO:0032222, GO:0034235, GO:0045187, GO:0048511, GO:0031225, GO:1903818, GO:0005886, GO:0030431
PAVE1_DN11015_c0_g2_i4.p1	GO:0016236, GO:0016021, GO:0004579, GO:0016020, GO:0006260
PAVE1_DN12854_c0_g1_i3.p1	GO:0046872, GO:0016575, GO:0005667, GO:0000118, GO:0005634, GO:0003714, GO:0045892, GO:0006357
PAVE1_DN2424_c0_g1_i3.p1	GO:0016021, GO:0043235, GO:0030139, GO:0005886, GO:0097206, GO:0072583, GO:0015031, GO:0016324, GO:0038024, GO:0097017
PAVE1_DN5077_c0_g1_i7.p1	GO:0019069, GO:0019028, GO:0003677, GO:0042025
PAVE1_DN51857_c0_g1_i1.p1	GO:0106310, GO:0035556, GO:0006468, GO:0005634, GO:0005737, GO:0008353, GO:0051726, GO:0005524, GO:0004693, GO:0004712
PAVE1_DN1443_c0_g1_i2.p1	GO:0020037, GO:0050679, GO:0006699, GO:0009410, GO:0007623, GO:0033783, GO:0007613, GO:0008203, GO:0008396, GO:0005789, GO:0033147, GO:0035754, GO:0005506, GO:0051591, GO:0047092, GO:0042632, GO:0005783, GO:0060740
PAVE1_DN9875_c0_g1_i2.p2	GO:0042600, GO:0008011, GO:0007304
PAVE1_DN46825_c0_g1_i4.p1	GO:0004722, GO:0043231, GO:0007165, GO:0005737
PAVE1_DN28189_c0_g1_i2.p2	GO:0005615, GO:0031731, GO:0050829, GO:0005576, GO:0050830, GO:0002227
PAVE1_DN4139_c0_g1_i4.p1	GO:0008047, GO:0035033, GO:0005634, GO:0043425, GO:0000796, GO:0030293, GO:0030261, GO:0007049, GO:0000070, GO:0051301, GO:0035064
PAVE1_DN35350_c0_g1_i1.p1	GO:0008502, GO:0007186, GO:0005886, GO:0016021
PAVE1_DN2240_c0_g1_i9.p1	GO:0110050, GO:0047710, GO:0043605, GO:0000166, GO:0006139, GO:0005739
PAVE1_DN39569_c0_g1_i1.p1	GO:0030509, GO:0016021, GO:0015295, GO:1902600, GO:0015876, GO:0005789, GO:0008521, GO:0060395, GO:0005783, GO:0007417
PAVE1_DN4148_c0_g1_i7.p1	GO:0016784, GO:0019346, GO:1990799, GO:0004792, GO:0005739
PAVE1_DN1014_c0_g1_i1.p1	GO:0009247, GO:0016021, GO:0005811, GO:0016020, GO:0016491
PAVE1_DN8474_c1_g1_i2.p1	GO:0003713, GO:0032968, GO:0005634, GO:0005654, GO:0016592, GO:0070847, GO:0051123, GO:0019827, GO:0060261
PAVE1_DN50041_c0_g1_i1.p1	GO:0008134, GO:0003713, GO:0016513, GO:0035206, GO:0005634, GO:0043565, GO:0045893, GO:0006357
PAVE1_DN16083_c0_g3_i3.p1	GO:0006388, GO:0003676, GO:0000213, GO:0005634, GO:0005741, GO:0000379, GO:0016829, GO:0090502, GO:0000214
PAVE1_DN6666_c0_g2_i1.p1	GO:0005515, GO:0005634, GO:1902369, GO:0005681, GO:1902802
PAVE1_DN78836_c0_g1_i1.p1	GO:0000282, GO:0016021, GO:0005515, GO:0016020, GO:0006974
PAVE1_DN19719_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0004190, GO:0016485, GO:0043588
PAVE1_DN12218_c0_g1_i2.p1	GO:0046676, GO:0031594, GO:0050790, GO:0098992, GO:0045159, GO:0031201, GO:0005737, GO:0042593, GO:0005886, GO:2000300, GO:0019905, GO:0015031, GO:0005096, GO:0006887
