NYGR1_DN1492_c0_g1_i2.p1	GO:0004364, GO:0006749, GO:0005737
NYGR1_DN33325_c0_g1_i1.p1	GO:0043005, GO:0005887, GO:0005886, GO:0015199, GO:0015812, GO:0005332, GO:0015838, GO:0006836, GO:0035725
NYGR1_DN47354_c0_g1_i1.p1	GO:0018108, GO:0005524, GO:0016020, GO:0005887, GO:0008543, GO:0017134, GO:0033674, GO:0004712, GO:0008284, GO:0005007, GO:0043235
NYGR1_DN41002_c0_g1_i1.p1	GO:0030036, GO:0005856, GO:0030018, GO:0051015, GO:0005938
NYGR1_DN5708_c0_g1_i1.p1	GO:0070500, GO:0042470, GO:0046900, GO:0005576, GO:0005829, GO:0032868, GO:0010043, GO:0005764, GO:0045471, GO:0005615, GO:0034722, GO:0009410
NYGR1_DN8045_c0_g1_i1.p1	GO:0002949, GO:0000408, GO:0005829, GO:0019901, GO:0000722, GO:0005634, GO:0005737
NYGR1_DN38335_c0_g1_i1.p1	GO:0070776, GO:0000122, GO:0046872, GO:2000584, GO:2000791, GO:0048286, GO:0005634
NYGR1_DN8566_c0_g1_i1.p1	GO:0031334, GO:0150077, GO:0006508, GO:0005576, GO:0010727, GO:1903209, GO:0071732, GO:0030574, GO:0071492, GO:0005615, GO:0031012, GO:0005515, GO:0008270, GO:0022617, GO:0004222, GO:1904645, GO:0004252
NYGR1_DN38675_c0_g1_i2.p1	GO:0031047, GO:0017148, GO:0030014, GO:0008312, GO:0006402, GO:0005634, GO:0005737
NYGR1_DN14110_c0_g1_i1.p2	GO:0000502, GO:0005524, GO:0036402, GO:0031090, GO:1901800, GO:0030433, GO:0008540, GO:0022624, GO:0016887, GO:0005634, GO:0005737
NYGR1_DN39254_c0_g1_i1.p1	GO:0005694, GO:0030915, GO:0005634, GO:0005829, GO:0005515, GO:0006281, GO:0048478, GO:0006310, GO:0005737
NYGR1_DN6720_c0_g1_i1.p1	GO:0005515, GO:0031146, GO:0019005
NYGR1_DN13046_c0_g1_i1.p1	GO:0005694, GO:0045944, GO:0005654, GO:0000781, GO:0002949, GO:0000408, GO:1990145, GO:0005829, GO:0005515, GO:0000722, GO:0005634
NYGR1_DN16668_c0_g1_i1.p1	GO:0005576, GO:0072378, GO:0003810, GO:0018149, GO:0007596, GO:0005737
NYGR1_DN21417_c0_g1_i1.p1	GO:0015031, GO:0001878, GO:0140206, GO:0005887, GO:0071916, GO:0070424, GO:0045087, GO:0015293, GO:0005886, GO:0015835
NYGR1_DN19671_c0_g1_i3.p1	GO:0034604, GO:0005739, GO:0005759, GO:0005967, GO:0061732, GO:0016746
NYGR1_DN32418_c0_g1_i1.p1	GO:0048678, GO:0007399, GO:0007165, GO:0030154, GO:0061809, GO:0050135, GO:0005739, GO:0035591, GO:0045087, GO:0019677, GO:0045202, GO:0034128, GO:0030425, GO:1901214, GO:0030424, GO:0005737
NYGR1_DN9206_c0_g1_i10.p1	GO:0051321, GO:0016020, GO:0019031, GO:0016021, GO:0055036, GO:0030437, GO:0008047
NYGR1_DN28424_c0_g1_i1.p1	GO:0005694, GO:0030915, GO:0005634, GO:0005829, GO:0005515, GO:0006281, GO:0048478, GO:0006310, GO:0005737
NYGR1_DN32524_c0_g1_i1.p1	GO:0061770, GO:0005634, GO:0061077, GO:0005737
NYGR1_DN42718_c0_g1_i1.p1	GO:0016554, GO:0005576, GO:0080156, GO:0005515, GO:0005615, GO:0006397
NYGR1_DN47195_c0_g1_i1.p2	GO:0046692, GO:0005576, GO:0007610, GO:0005496, GO:0005615, GO:0019953
NYGR1_DN27218_c0_g1_i1.p1	GO:0003714, GO:0010688, GO:0000785, GO:0005634, GO:0005737
NYGR1_DN45917_c0_g1_i2.p1	GO:0005524, GO:0005654, GO:0017183, GO:0005730, GO:0017178
NYGR1_DN4343_c0_g1_i4.p1	GO:0046872, GO:0033085, GO:0000122, GO:0005634
NYGR1_DN380_c0_g1_i2.p1	GO:0006915, GO:0006309, GO:0090305, GO:0004531, GO:0005764, GO:0005634
NYGR1_DN4748_c0_g7_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005789, GO:0006278, GO:0005783
NYGR1_DN19054_c0_g1_i1.p2	GO:0004766, GO:0005737, GO:0008295, GO:0036360
NYGR1_DN43321_c0_g1_i1.p1	GO:0006488, GO:0003865, GO:0005789, GO:0016095, GO:0019408, GO:0016021, GO:0102389, GO:0006486, GO:0005783
NYGR1_DN6375_c0_g1_i1.p1	GO:0051301, GO:0007049, GO:0044772, GO:0005515, GO:0000079, GO:0016538, GO:0005634, GO:0000307, GO:0005737
NYGR1_DN6255_c2_g1_i2.p1	GO:0007264, GO:0046872, GO:0003924, GO:0005886, GO:0019003, GO:0032008, GO:0005525
NYGR1_DN2082_c1_g1_i1.p1	GO:0005694, GO:0000782, GO:0042162, GO:0000781, GO:0000775, GO:0016233, GO:0005515, GO:0005634
NYGR1_DN30872_c0_g1_i1.p1	GO:0006357, GO:0030154, GO:0042393, GO:0009908, GO:0009909, GO:0000812, GO:0035267, GO:2000028, GO:0006281, GO:0048510, GO:0006338, GO:0043981, GO:0090239, GO:0005634, GO:0005737
NYGR1_DN6511_c0_g1_i3.p1	GO:0016020, GO:0034765, GO:0071805, GO:0016021, GO:0008076, GO:0005249, GO:0030425
NYGR1_DN6991_c0_g1_i1.p1	GO:0005515, GO:0005634, GO:0000781, GO:0030466
NYGR1_DN10791_c0_g1_i1.p1	GO:0016020, GO:0034486, GO:1905103, GO:0022857, GO:0070062
NYGR1_DN16254_c0_g1_i1.p1	GO:0005694, GO:0005654, GO:0051301, GO:0000775, GO:0007049, GO:0004862, GO:0005634, GO:0006355, GO:0000776, GO:0034080
NYGR1_DN8665_c0_g1_i1.p1	GO:0072686, GO:0007420, GO:0097431, GO:0048471, GO:1990023, GO:0005829, GO:0002244, GO:0005874, GO:0007052, GO:0008017, GO:0015630, GO:0007405, GO:0005737
NYGR1_DN37828_c0_g1_i1.p1	GO:0030154, GO:0005509, GO:0007283, GO:0005886, GO:0016021, GO:0048477
NYGR1_DN43264_c0_g1_i1.p1	GO:0071277, GO:0019905, GO:0017158, GO:0005509, GO:0014059, GO:0030276, GO:0048791, GO:0048488, GO:0005886, GO:0070382, GO:0031045, GO:0005544, GO:0030672, GO:0030424, GO:0001786
NYGR1_DN32069_c0_g1_i1.p1	GO:0032196, GO:0005515, GO:0010526, GO:0005634, GO:0005737
NYGR1_DN1952_c0_g1_i1.p1	GO:0035150, GO:0098592, GO:0035017, GO:0048613, GO:0042302, GO:0040018, GO:0040026, GO:0005576, GO:1903133, GO:0016324, GO:0061063, GO:0098591, GO:0005886, GO:0099512, GO:1905278, GO:0005615, GO:0002064
NYGR1_DN26216_c0_g1_i1.p1	GO:0061634, GO:0030246, GO:0005829, GO:0048046, GO:0009506, GO:0071555, GO:0000272
NYGR1_DN32844_c0_g1_i1.p1	GO:0016020, GO:0050896, GO:0006874, GO:0015293, GO:0005802, GO:0071805, GO:0016021, GO:0008273, GO:0012505, GO:0070588, GO:0098656, GO:0035725
NYGR1_DN13698_c0_g1_i1.p2	GO:0007306, GO:0016540, GO:0031638, GO:0007313, GO:0045752, GO:0098595, GO:0007343, GO:0004252
NYGR1_DN34840_c0_g1_i1.p1	GO:0042351, GO:0008446, GO:0005737, GO:0019673
NYGR1_DN841_c0_g1_i4.p1	GO:0005739, GO:0007005, GO:0016021, GO:0005743, GO:0043022, GO:0005741
NYGR1_DN2762_c1_g1_i1.p1	GO:0005739, GO:0015230, GO:0008517, GO:0016021, GO:0005743, GO:0006067
NYGR1_DN49472_c0_g1_i1.p1	GO:0005829, GO:0051321, GO:0005515, GO:0005634
NYGR1_DN6374_c1_g1_i1.p1	GO:0045665, GO:0007399, GO:0030154, GO:0042981, GO:0002052, GO:0051726, GO:0048011, GO:0031103, GO:0005102, GO:0005634, GO:0005737
NYGR1_DN38630_c0_g1_i1.p1	GO:0016020, GO:0034486, GO:1905103, GO:0022857, GO:0070062
NYGR1_DN37787_c0_g1_i1.p1	GO:0005789, GO:0046982, GO:0005886, GO:0016021, GO:0015721, GO:0042803, GO:0005783, GO:0032991
NYGR1_DN1792_c0_g1_i1.p1	GO:0048018, GO:0005576, GO:0050808, GO:0032589
NYGR1_DN5057_c0_g1_i2.p1	GO:0016020, GO:0019005, GO:0031647, GO:0016021, GO:0005515
NYGR1_DN3116_c0_g1_i4.p1	GO:0003723, GO:0045292, GO:0005515, GO:0005684, GO:0005686
NYGR1_DN16280_c0_g1_i1.p1	GO:0046777, GO:0005876, GO:0048599, GO:0005737, GO:0005856, GO:0031616, GO:0007283, GO:0051255, GO:0035174, GO:0007052, GO:0004712, GO:0005524, GO:0005819, GO:1990385, GO:0106310, GO:0032465, GO:0000793, GO:0030496, GO:0032133, GO:0005634, GO:0051321, GO:0051301, GO:0035404, GO:0000775
NYGR1_DN17156_c0_g1_i1.p1	GO:1902405, GO:0007097, GO:0099070, GO:0106006, GO:0044732, GO:0005829, GO:0005881, GO:0005515, GO:0032153, GO:0031024, GO:0031021, GO:0000923, GO:0015630, GO:0005737
NYGR1_DN2966_c0_g2_i2.p1	GO:0005524, GO:0045292, GO:0106310, GO:0006468, GO:0005681, GO:0004674, GO:0005634, GO:0004712
NYGR1_DN27104_c0_g1_i1.p1	GO:0018108, GO:0005524, GO:0043409, GO:0046328, GO:0004714, GO:0005886, GO:0016021, GO:0043066, GO:0004712
NYGR1_DN13059_c0_g1_i1.p1	GO:0005789, GO:0061576, GO:0050291, GO:0046513, GO:0016021, GO:0005783
NYGR1_DN33754_c0_g1_i1.p1	GO:0005886, GO:0022857, GO:0016021, GO:0006865
NYGR1_DN37633_c0_g1_i6.p1	GO:0005856, GO:0051301, GO:0045737, GO:0061575, GO:0007049, GO:0000086, GO:0007089, GO:0005634, GO:0005737, GO:0044732, GO:0031138, GO:0000785, GO:0005515, GO:0110044, GO:0000307, GO:0006310, GO:0031568, GO:0000082
NYGR1_DN19781_c0_g1_i1.p1	GO:0044458, GO:0043393, GO:0051649, GO:0060287, GO:0005929, GO:0036159, GO:0005737, GO:0090660, GO:0005515, GO:0061458, GO:0036158, GO:0030317, GO:0008584, GO:0120229
NYGR1_DN533_c0_g1_i1.p2	GO:0010951, GO:0005576, GO:0045087, GO:0005615, GO:0004867, GO:0019731
NYGR1_DN758_c0_g1_i2.p2	GO:0050821, GO:0007595, GO:0005576, GO:0004866
NYGR1_DN1572_c2_g1_i1.p1	GO:0005694, GO:0006357, GO:0000781, GO:0046872, GO:0010833, GO:0048863, GO:0000981, GO:0045950, GO:0000978, GO:0005634, GO:0005737
NYGR1_DN32376_c0_g1_i2.p1	GO:1902494, GO:1901276, GO:0008730, GO:0009408
NYGR1_DN12413_c0_g1_i1.p1	GO:0090305, GO:0000729, GO:0035312, GO:0006298, GO:0005739, GO:0046872, GO:0003677, GO:0005634, GO:0017108, GO:0006310
NYGR1_DN2863_c0_g2_i3.p1	GO:0000413, GO:0061077, GO:0005829, GO:0003755, GO:0005783, GO:0005788, GO:0099503
NYGR1_DN7008_c0_g1_i2.p1	GO:0035006, GO:0016339, GO:0030246, GO:0009897, GO:0035010
NYGR1_DN5228_c0_g3_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005739, GO:0006278
NYGR1_DN3009_c1_g1_i2.p1	GO:0003713, GO:0003723, GO:0045944, GO:0003677, GO:0005634, GO:0016602
NYGR1_DN46162_c0_g1_i1.p1	GO:0016042, GO:0009617, GO:0005576, GO:0032094, GO:0007586, GO:0008047, GO:0050790
NYGR1_DN27456_c0_g1_i1.p2	GO:0035999, GO:0005524, GO:0005829, GO:0048046, GO:0005507, GO:0009507, GO:0004329, GO:0005634
NYGR1_DN47009_c0_g1_i1.p1	GO:0042981, GO:0006915, GO:0005546, GO:0006869, GO:0005547, GO:0080025, GO:0070300, GO:0034389, GO:0005634, GO:0005829, GO:0031267, GO:0019901, GO:0005811, GO:0005783, GO:0097194, GO:0043325
NYGR1_DN9598_c0_g1_i1.p1	GO:0046872, GO:0005096, GO:0050790, GO:0005634
NYGR1_DN2237_c0_g1_i9.p1	GO:0016605, GO:0000122, GO:0051091, GO:0005654, GO:0043161, GO:0001650, GO:0005829, GO:0043123, GO:0061656, GO:0030425, GO:0005737, GO:1990356, GO:0008022, GO:0001889, GO:0051168, GO:0004842, GO:0005524, GO:0033145, GO:0005635, GO:0071535, GO:0007084, GO:0016567, GO:0106068, GO:0016925, GO:0044388, GO:0045202, GO:0001221, GO:0005634, GO:0000795, GO:1903755, GO:0043425, GO:0003723, GO:0007059, GO:0043398, GO:0051301, GO:0007049, GO:0005643, GO:0010469
NYGR1_DN2274_c0_g1_i1.p1	GO:0030998, GO:0019046, GO:0005829, GO:0019042, GO:0008289, GO:1990825, GO:0005634, GO:0005737
NYGR1_DN4024_c0_g1_i2.p1	GO:0035009, GO:0010951, GO:0005576, GO:0005615, GO:0004867, GO:0042438
NYGR1_DN34749_c0_g1_i1.p1	GO:0005198, GO:0030855, GO:0016324, GO:0005886, GO:0005515, GO:0120001
NYGR1_DN6178_c0_g1_i1.p1	GO:0015252, GO:0060336, GO:0005887, GO:0032869, GO:0042472, GO:0032475, GO:0045299, GO:1902600, GO:0005886, GO:0015485, GO:0042802
NYGR1_DN46145_c0_g1_i1.p1	GO:0031625, GO:0043161, GO:0016567, GO:0030162, GO:0005737
NYGR1_DN17446_c0_g1_i1.p1	GO:0051321, GO:0005085, GO:0060090, GO:0005737
NYGR1_DN36699_c0_g1_i1.p1	GO:0061844, GO:0050832, GO:0001961, GO:0016021, GO:0043066, GO:0050829, GO:0005125, GO:0042531, GO:0071657, GO:0033644, GO:0007165, GO:0032736, GO:0005139, GO:0071654, GO:0008284, GO:0050729, GO:1904894, GO:0032754, GO:0016020, GO:0032733, GO:0032755, GO:0033005
NYGR1_DN6632_c0_g2_i3.p1	GO:0042025, GO:0046872, GO:0003677, GO:0039695, GO:0006355, GO:0039646, GO:0039645, GO:0039686
NYGR1_DN45778_c0_g1_i1.p1	GO:0002376, GO:0016671, GO:0005576
NYGR1_DN45172_c0_g1_i1.p1	GO:0005516, GO:0004687, GO:0005524, GO:0003779, GO:0032154, GO:0014820, GO:0001725, GO:0016310, GO:0030027, GO:0005737
NYGR1_DN17596_c0_g1_i1.p1	GO:0006915, GO:0016020, GO:0003723, GO:0006914, GO:0001844, GO:0008630, GO:0008625, GO:2000786, GO:0090200, GO:1903561, GO:0043065, GO:0042802, GO:0097192
NYGR1_DN46239_c0_g1_i1.p1	GO:0005524, GO:0043161, GO:0000209, GO:0061631, GO:0005634
NYGR1_DN26668_c0_g1_i1.p1	GO:0010811, GO:0005925, GO:0005515, GO:0043547, GO:2000179, GO:0007265
NYGR1_DN44268_c0_g1_i1.p1	GO:0030154, GO:0000122, GO:0022416, GO:0035220, GO:0008285, GO:0000981, GO:0043066, GO:0000978, GO:0009653, GO:0005634
NYGR1_DN4041_c0_g1_i3.p1	GO:0000062, GO:0050821, GO:0010619, GO:0006457, GO:0008289, GO:0005737
NYGR1_DN7096_c0_g1_i2.p1	GO:0035091, GO:0072554, GO:0016525, GO:0009948, GO:0005737, GO:0005856, GO:0045454, GO:0001525, GO:0003007, GO:0003181, GO:0045602, GO:0001886, GO:0030054, GO:2000114, GO:0007033, GO:0007507, GO:0005886, GO:0001568, GO:0001570, GO:0048514, GO:0060047
NYGR1_DN25136_c0_g1_i1.p1	GO:0022625, GO:0030295, GO:0002181, GO:0006414, GO:0032147, GO:0005515, GO:0003735, GO:0043021, GO:0022626
NYGR1_DN47389_c0_g1_i1.p1	GO:0030154, GO:0017148, GO:1900153, GO:0048471, GO:0030718, GO:0007283, GO:0003729, GO:0005634, GO:0005515, GO:0008270, GO:0048477, GO:0000932, GO:0006402, GO:0045835, GO:0005737
NYGR1_DN3125_c0_g1_i1.p1	GO:0042575, GO:0003887, GO:0071897, GO:0003676, GO:0015074, GO:0008270, GO:0019899, GO:0005737
NYGR1_DN36639_c0_g1_i1.p2	GO:0005856, GO:0005516, GO:0003779, GO:1901739, GO:0007520, GO:0005737
NYGR1_DN37792_c0_g1_i1.p1	GO:0016021, GO:0046740, GO:0016020, GO:0005515
NYGR1_DN32640_c0_g1_i1.p1	GO:0044782, GO:0060322, GO:0005829, GO:0003968, GO:0005634, GO:0005737
NYGR1_DN2842_c0_g1_i8.p1	GO:0008176, GO:0106004, GO:0005829, GO:0005634, GO:0106143
NYGR1_DN15464_c0_g1_i1.p1	GO:0102991, GO:0005783, GO:0006631, GO:0016290
NYGR1_DN20304_c0_g1_i1.p1	GO:0040018, GO:0046777, GO:0007179, GO:0005737, GO:0046872, GO:0045717, GO:0005515, GO:0040010, GO:0009408, GO:0004712, GO:0005524, GO:0106310, GO:0035556, GO:0005634, GO:0000003, GO:0046811, GO:0040024, GO:0043053, GO:0042149, GO:0031064, GO:0010628, GO:0004674
NYGR1_DN48416_c0_g1_i1.p1	GO:0005125, GO:0016020, GO:0035723, GO:0005126, GO:0050766, GO:0016021, GO:0006955, GO:0042119, GO:0048856, GO:0050731
NYGR1_DN15151_c0_g1_i1.p1	GO:0045892, GO:0045944, GO:0046872, GO:0005634, GO:0140655
NYGR1_DN24796_c0_g1_i1.p1	GO:0005829, GO:0003978, GO:0033499
NYGR1_DN19360_c0_g1_i1.p1	GO:0005769, GO:0005886, GO:0005515, GO:0006897, GO:0016021
NYGR1_DN736_c0_g2_i1.p1	GO:0035220, GO:0005789, GO:0005506, GO:0020037, GO:0016705, GO:0005783, GO:0004497
NYGR1_DN45036_c0_g1_i2.p1	GO:0005694, GO:0030915, GO:0005829, GO:0005515, GO:0016032, GO:0005634, GO:0005737
NYGR1_DN3567_c2_g2_i1.p1	GO:0003677, GO:0005634, GO:0006310, GO:0015074
NYGR1_DN46082_c0_g1_i1.p1	GO:0043086, GO:0005576, GO:0008061
NYGR1_DN6026_c0_g1_i2.p1	GO:0051087, GO:0061077, GO:0044183, GO:0090084, GO:0005829, GO:0051082, GO:0005634, GO:0005737
NYGR1_DN26883_c0_g1_i1.p1	GO:0048471, GO:0030234, GO:0010507, GO:0050821, GO:0060304, GO:0042995, GO:0032587, GO:0004438, GO:0005829, GO:0005886, GO:0006897, GO:0010922, GO:0019903, GO:0005783, GO:0046856, GO:0032991, GO:0005737
NYGR1_DN1405_c0_g1_i11.p1	GO:0007399, GO:0005546, GO:0051016, GO:0015629, GO:0010592, GO:0005925, GO:0051014, GO:1900480, GO:0005884, GO:0051015, GO:0007010, GO:0008154, GO:0010976, GO:0060271, GO:0030424, GO:0071933, GO:0030027, GO:0005737
NYGR1_DN4244_c0_g1_i2.p1	GO:0005694, GO:0042162, GO:0070187, GO:0000781, GO:0048239, GO:0010833, GO:0043123, GO:0031848, GO:0010569, GO:0051092, GO:0005634, GO:0005737
NYGR1_DN15634_c0_g1_i1.p1	GO:0005509, GO:0005243, GO:0051015, GO:0005886, GO:0016021, GO:1903598, GO:1903746, GO:0055085, GO:0005921
NYGR1_DN39110_c0_g1_i1.p1	GO:0015031, GO:0000741, GO:0005856, GO:0007059, GO:0006914, GO:0000407, GO:0005515, GO:0005874, GO:0005737
NYGR1_DN38444_c0_g1_i1.p1	GO:0052886, GO:0052887, GO:0005777, GO:0016719, GO:0016117
NYGR1_DN26819_c0_g1_i1.p1	GO:0000221, GO:1902600, GO:0046961
NYGR1_DN28673_c0_g1_i1.p1	GO:0016020, GO:0009267, GO:0005739, GO:0015189, GO:0016021, GO:0005783
NYGR1_DN3985_c3_g1_i1.p1	GO:0050821, GO:0005515, GO:0040025, GO:0010628, GO:0034504, GO:0005634, GO:0006417
NYGR1_DN37466_c0_g1_i1.p1	GO:0030036, GO:0001725, GO:0005925, GO:0007015, GO:0051015
NYGR1_DN10312_c0_g1_i6.p1	GO:0008832, GO:0005634, GO:0006203
NYGR1_DN9488_c0_g1_i2.p1	GO:0005829, GO:0039645, GO:0016925, GO:0048306, GO:0039686, GO:0005634
NYGR1_DN4565_c1_g1_i2.p1	GO:0016020, GO:0039503, GO:0030683, GO:0016021, GO:0033644, GO:0042802
NYGR1_DN8947_c0_g1_i2.p1	GO:0046872, GO:0046474, GO:0008253, GO:0005739
NYGR1_DN21358_c0_g1_i1.p1	GO:0031501, GO:0004376, GO:0000009, GO:0005789, GO:0006506, GO:0045052, GO:0045313, GO:0097502, GO:0005783, GO:0030176
NYGR1_DN23158_c0_g1_i1.p1	GO:0005198, GO:0005737, GO:0030437
NYGR1_DN1145_c0_g1_i4.p1	GO:0042025, GO:0050896, GO:0042048, GO:0030430, GO:0003677, GO:0007608, GO:0008270, GO:0019904, GO:0003700
NYGR1_DN33990_c0_g1_i1.p1	GO:0047710, GO:0046872, GO:0005886, GO:0016021, GO:0005515, GO:0030194, GO:0101003, GO:0070062, GO:0007596, GO:0046130
NYGR1_DN7251_c0_g2_i1.p1	GO:0046622, GO:0050832, GO:0040018, GO:0010033, GO:0005615, GO:0050829, GO:0002119, GO:0005125, GO:0045944, GO:0045793, GO:0045138, GO:1901048, GO:0070700, GO:0030509, GO:0019216, GO:0010862, GO:0005576, GO:0008083, GO:0050830, GO:0022604, GO:0042661, GO:0032877, GO:0030511, GO:0045087, GO:0060395, GO:0010628
NYGR1_DN16164_c0_g1_i1.p1	GO:0030430, GO:0003677, GO:0006260, GO:0019033, GO:0039686, GO:0044177
NYGR1_DN1960_c0_g1_i5.p1	GO:0003723, GO:0005739, GO:0005763, GO:0003735, GO:0005840, GO:0032543
NYGR1_DN30491_c0_g1_i1.p1	GO:0050699, GO:0071902, GO:0043539, GO:0030971, GO:0031435, GO:0042802, GO:0005634, GO:0032991, GO:0005737
NYGR1_DN27032_c0_g1_i1.p1	GO:0051321, GO:0005739, GO:0016874, GO:0016021, GO:0005743
NYGR1_DN8579_c0_g1_i3.p1	GO:1900026, GO:0001933, GO:0061629, GO:0009887, GO:0005654, GO:0050852, GO:0035591, GO:0001784, GO:0021766, GO:0005829, GO:1903977, GO:0009952, GO:1904888, GO:0031594, GO:0090630, GO:0008584, GO:0007338, GO:0005737, GO:0038026, GO:0021987, GO:0030971, GO:0007283, GO:0098761, GO:0050773, GO:0003151, GO:0048538, GO:0042802, GO:0001934, GO:0001655, GO:0001783, GO:0086100, GO:0001558, GO:2000404, GO:0001764, GO:0071774, GO:0008284, GO:0071560, GO:0070374, GO:0016358, GO:0048384, GO:0098890, GO:0032991, GO:1904393, GO:0010629, GO:0035685, GO:0060326, GO:0030010, GO:0007507, GO:0008543, GO:0060465, GO:0095500, GO:0071466, GO:0001568, GO:0060017, GO:0006629, GO:0033628, GO:0007416, GO:0098749
NYGR1_DN46691_c0_g1_i1.p1	GO:0042246, GO:0046872, GO:0005576, GO:0006508, GO:0043171, GO:0005615, GO:0005764, GO:0006590, GO:0004180, GO:0042803, GO:0005783, GO:0070573, GO:0005794, GO:0005737
NYGR1_DN5198_c0_g1_i1.p1	GO:0016579, GO:0005739, GO:0006511, GO:0004843, GO:0140492
NYGR1_DN13368_c0_g1_i1.p1	GO:0006730, GO:0005886, GO:0008270, GO:0004089
NYGR1_DN1253_c0_g1_i3.p1	GO:0005667, GO:0003712, GO:0006355, GO:0090309, GO:0005634
NYGR1_DN9205_c0_g4_i1.p1	GO:0005576, GO:0006508, GO:0008270, GO:0018996, GO:0004222
NYGR1_DN42119_c0_g1_i1.p1	GO:0005694, GO:0005524, GO:0006265, GO:0007059, GO:0046872, GO:0003677, GO:0003918
NYGR1_DN13532_c0_g1_i2.p1	GO:0004185, GO:0005576, GO:0006508
NYGR1_DN38714_c0_g1_i2.p1	GO:0006807, GO:0005789, GO:0006614, GO:0016021, GO:0001889, GO:0006620, GO:0008320, GO:0010259, GO:0005783, GO:0031207, GO:0031204
NYGR1_DN19433_c0_g1_i1.p1	GO:0005524, GO:0005739, GO:0046872, GO:0005759, GO:0004485, GO:0006552
NYGR1_DN7168_c0_g1_i3.p1	GO:0009636, GO:0008375, GO:0016021, GO:0006486, GO:0005794, GO:0000139
NYGR1_DN13288_c0_g1_i1.p1	GO:0031571, GO:0006325, GO:0010390, GO:0010506, GO:0071894, GO:0045893, GO:0000993, GO:0003682, GO:1904263, GO:0005634
NYGR1_DN11659_c0_g1_i4.p1	GO:0005694, GO:0051321, GO:0006265, GO:0071139, GO:0032042, GO:0005654, GO:0016605, GO:0005739, GO:0003697, GO:0005759, GO:0000724, GO:0005515, GO:0031422, GO:0008270, GO:0003917, GO:0051304, GO:0005634
NYGR1_DN19144_c0_g1_i1.p1	GO:0044528, GO:0003723, GO:0005739, GO:0005759, GO:0005515, GO:0000963, GO:0035770
NYGR1_DN1201_c0_g1_i5.p1	GO:1903672, GO:0007182, GO:0001657, GO:0060393, GO:0002043, GO:0005576, GO:0010594, GO:0042118, GO:0030514, GO:0005201, GO:0070374, GO:0030509, GO:0001568, GO:0005615, GO:0031012, GO:0005515, GO:0032880, GO:0048839
NYGR1_DN22734_c0_g1_i1.p1	GO:0005576, GO:0004867, GO:0010951
NYGR1_DN20130_c0_g1_i1.p1	GO:0016020, GO:0034765, GO:0071805, GO:0016021, GO:0008076, GO:0005249, GO:0030425
NYGR1_DN43985_c0_g1_i1.p1	GO:0003723, GO:0042254, GO:0005829, GO:0005730, GO:0005515, GO:0006364, GO:0032040, GO:0005634
NYGR1_DN4597_c0_g1_i1.p1	GO:0005856, GO:0045724, GO:0036064, GO:0097730, GO:0035720, GO:0001822, GO:0097546, GO:0005737, GO:0005829, GO:0005814, GO:0005813, GO:2000785, GO:1905515, GO:0030992, GO:0019894, GO:0060122, GO:0097542, GO:0036126
NYGR1_DN2026_c0_g1_i4.p1	GO:0010780, GO:0051321, GO:0005829, GO:0005515, GO:0005634
NYGR1_DN4350_c0_g1_i4.p1	GO:0072334, GO:0008643, GO:0005886, GO:0016021, GO:0005515, GO:0005794
NYGR1_DN236_c5_g1_i1.p1	GO:0006357, GO:0046872, GO:0000981, GO:0000978, GO:0005634
NYGR1_DN12933_c0_g1_i1.p1	GO:0005886, GO:0022857, GO:0055085, GO:0016021
NYGR1_DN20360_c0_g1_i1.p2	GO:0004860, GO:0005739, GO:0007049, GO:0031966, GO:0016021, GO:0043086
NYGR1_DN25300_c0_g1_i1.p1	GO:0007165, GO:0005125, GO:0046688, GO:0034605, GO:0005149, GO:0051781, GO:0005576, GO:0005829, GO:0001819, GO:0006955, GO:0005615, GO:0005507, GO:0001660, GO:0005737
NYGR1_DN39779_c0_g1_i1.p1	GO:0009705, GO:0016021, GO:0005515, GO:0046786, GO:0005773
NYGR1_DN25202_c0_g1_i1.p1	GO:0016020, GO:0005739, GO:0047620, GO:0046513, GO:0001729, GO:0003951, GO:0046834, GO:0004143, GO:0005737
NYGR1_DN14944_c0_g1_i1.p1	GO:0007098, GO:0022027, GO:0005938, GO:0008289, GO:1903724
NYGR1_DN6066_c0_g1_i2.p1	GO:0031123, GO:0046872, GO:0005759, GO:0003727, GO:0090502, GO:0004521
NYGR1_DN3779_c0_g2_i1.p1	GO:0042575, GO:0035613, GO:0003964, GO:0003677, GO:0006278, GO:0015074, GO:0004523, GO:0006281, GO:0008270, GO:0090502, GO:0006310, GO:0005737
NYGR1_DN38929_c0_g1_i1.p1	GO:0000502, GO:0051306, GO:0019774, GO:0043161, GO:0005829, GO:0005515, GO:0005839, GO:0005634, GO:0045842, GO:0005737
NYGR1_DN20609_c0_g1_i1.p1	GO:0007399, GO:0005576, GO:0098868, GO:0005515, GO:0005615, GO:0097009
NYGR1_DN38883_c0_g1_i1.p1	GO:0005509, GO:0005739, GO:0007283, GO:0031514, GO:0001669, GO:0097228, GO:0005743, GO:0030317, GO:0005737
