DRYU1_DN6430_c0_g1_i3.p1	GO:0006355, GO:0005634, GO:0003700
DRYU1_DN6772_c0_g1_i1.p1	GO:0034235, GO:0032222, GO:1903818, GO:0045187, GO:0030431, GO:0005886, GO:0031225, GO:0048511
DRYU1_DN1760_c0_g1_i1.p1	GO:0060073, GO:0043410, GO:1905146, GO:0005543, GO:0002020, GO:1903206, GO:0006886, GO:0071310, GO:1903771, GO:0005615, GO:0001664, GO:1905574, GO:0007041, GO:0005737, GO:1905576, GO:1903575, GO:0007605, GO:0005770, GO:0060742, GO:0016235, GO:0032991, GO:0019882, GO:0090659, GO:1905575, GO:0007193, GO:0042803, GO:0042552, GO:0050885, GO:0019216, GO:0010467, GO:1905573, GO:0006678, GO:1905577, GO:0060736, GO:0005576, GO:0005739, GO:0097110, GO:0090102, GO:0005764, GO:1905572, GO:0021702, GO:0070841, GO:0030882, GO:0001865, GO:0006683, GO:0003335, GO:0009306
DRYU1_DN19025_c0_g1_i1.p1	GO:0006355, GO:0030430, GO:0005515
DRYU1_DN34710_c0_g1_i1.p1	GO:0034220, GO:0050877, GO:0030594, GO:0005230, GO:0043005, GO:0007268, GO:0005887, GO:0005886, GO:0004888, GO:0045202, GO:0042391, GO:0007165, GO:0045211
DRYU1_DN2011_c0_g1_i8.p1	GO:0016567, GO:0005634, GO:0031625, GO:0005737
DRYU1_DN239_c1_g1_i1.p1	GO:0005730, GO:0043153, GO:0043025, GO:1901567, GO:0070262, GO:1904886, GO:0000781, GO:0005886, GO:0098609, GO:0000164, GO:0043204, GO:0032091, GO:0005979, GO:0051301, GO:0005737, GO:0017018, GO:0072357, GO:0005654, GO:0098641, GO:0043197, GO:0046872, GO:0032922, GO:0050790, GO:0005829, GO:0005981, GO:0035970, GO:0005634, GO:0043021, GO:0030324, GO:0005912, GO:0008157, GO:0042587, GO:0070062, GO:0007049, GO:0005977, GO:0036496, GO:0048754, GO:0090263, GO:0072542, GO:2001241, GO:0098793, GO:0010288, GO:0098978
DRYU1_DN31141_c0_g1_i1.p1	GO:0015630, GO:0061673, GO:0000743, GO:0051315, GO:0035371, GO:0001671, GO:0031110, GO:0051301, GO:1990023, GO:0051010, GO:0005880, GO:0005634, GO:0055028, GO:0051285, GO:0007049, GO:0099609, GO:0000742, GO:0008093, GO:1904825, GO:0051225, GO:0044732, GO:0030989
DRYU1_DN6151_c2_g1_i1.p1	GO:0046789, GO:0039626, GO:0019031, GO:0019028, GO:0044650, GO:0005198, GO:0019064
DRYU1_DN33510_c0_g1_i1.p1	GO:0051301, GO:0015629, GO:0005737, GO:0000281, GO:0005509, GO:0007049, GO:0016460
DRYU1_DN29470_c0_g1_i1.p1	GO:0043001, GO:0016028, GO:0045313, GO:0030707, GO:0051601, GO:0007269, GO:0005737, GO:0072697, GO:0006887, GO:0007009, GO:0000149, GO:0016081, GO:0000145, GO:0005915, GO:0098793, GO:0032456, GO:0007298, GO:0016020, GO:0016080
DRYU1_DN2250_c0_g1_i1.p1	GO:0005576, GO:0004322, GO:0006826, GO:0008199, GO:0006879
DRYU1_DN10955_c0_g1_i1.p1	GO:0005739, GO:0009968, GO:0005515, GO:0005096, GO:0005886, GO:0008104
DRYU1_DN33502_c0_g1_i1.p1	GO:0005730, GO:0005634, GO:0140483, GO:0005515, GO:0051321
DRYU1_DN8688_c0_g1_i1.p1	GO:0004712, GO:0005856, GO:0005737, GO:0005524, GO:0018105, GO:0005634, GO:0004674, GO:0004713, GO:0106310, GO:0018107, GO:0018108
DRYU1_DN7195_c0_g1_i2.p1	GO:0030154, GO:0036158, GO:0005930, GO:0003341, GO:0007286, GO:0005515, GO:0007283
DRYU1_DN1949_c0_g1_i3.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN10575_c0_g2_i1.p1	GO:0005829, GO:0004322, GO:0006880, GO:0005737, GO:0006826, GO:0008199, GO:0008198, GO:0006879
DRYU1_DN4572_c0_g1_i2.p1	GO:0050660, GO:0005948, GO:0016021, GO:0009099, GO:0030976, GO:0005783, GO:0003984, GO:0001561, GO:0000287, GO:0016829, GO:0009097, GO:0005789
DRYU1_DN71_c0_g1_i67.p1	GO:0000724, GO:0019789, GO:0032204, GO:0005694, GO:0005634, GO:0000781, GO:0005515, GO:0030915, GO:0016925
DRYU1_DN1436_c0_g1_i2.p1	GO:0000276, GO:0005739, GO:1902600, GO:0005743, GO:0015986, GO:0046933, GO:0005753
DRYU1_DN4302_c0_g1_i2.p1	GO:0005856, GO:0030317, GO:0005737, GO:0008017, GO:0034613, GO:0005874, GO:0031514, GO:0005794, GO:0031267
DRYU1_DN9145_c0_g1_i1.p1	GO:0008063, GO:0002755, GO:0035325, GO:0043123, GO:0050830, GO:0002283, GO:0002237, GO:1901534, GO:0005737, GO:0070976, GO:0005886, GO:0045087, GO:0042117, GO:0006954, GO:0002218, GO:0030593
DRYU1_DN5420_c0_g1_i1.p1	GO:0090110, GO:0006888, GO:0007029, GO:0030127, GO:0070971, GO:0005783, GO:0006886, GO:0005794, GO:0005198
DRYU1_DN33769_c0_g1_i1.p1	GO:0051087, GO:0030544, GO:1901018, GO:0044325, GO:0008270, GO:0048471
DRYU1_DN3752_c0_g1_i1.p1	GO:0005048, GO:0045047, GO:0005784, GO:0008320, GO:0039019, GO:0045048, GO:0031204, GO:0005783, GO:0006616, GO:0030176, GO:0043022, GO:0006613, GO:0005789
DRYU1_DN2520_c0_g2_i1.p1	GO:0015031, GO:0017056, GO:0005768, GO:0032456
DRYU1_DN3694_c0_g1_i1.p1	GO:0051301, GO:0034080, GO:0006355, GO:0005694, GO:0005634, GO:0000776, GO:0006915, GO:0005654, GO:0000775, GO:0005515, GO:0007049
DRYU1_DN31107_c0_g1_i1.p1	GO:0080030, GO:0005576, GO:0019695, GO:0006581
DRYU1_DN26459_c0_g1_i1.p1	GO:0044177, GO:0019033, GO:0046782, GO:0005515, GO:0030430, GO:0039695, GO:0046872
DRYU1_DN19290_c0_g1_i1.p1	GO:0005829, GO:0000785, GO:0000124, GO:0043966, GO:0005669, GO:0005634, GO:0045893, GO:0016251, GO:0046982, GO:0003713, GO:0006367, GO:0051123
DRYU1_DN24970_c0_g1_i1.p1	GO:0005739, GO:0016021, GO:0005743, GO:0004722, GO:0030150, GO:0004725, GO:0006470, GO:0005744, GO:0007006
DRYU1_DN1888_c0_g1_i2.p1	GO:0005737, GO:0071013, GO:0005634, GO:0045892, GO:0003714, GO:0031507, GO:0071011, GO:0000398, GO:0008134
DRYU1_DN10999_c0_g1_i1.p1	GO:0050914, GO:0035199, GO:0035002, GO:0005887, GO:0015280, GO:0009651, GO:0035725, GO:0016020
DRYU1_DN7646_c0_g1_i2.p1	GO:0005515, GO:0030435, GO:0106006, GO:0005628
DRYU1_DN8865_c0_g1_i1.p1	GO:0044220, GO:0003723, GO:0030430, GO:0046761, GO:0020002, GO:0016020, GO:0008270, GO:0039702, GO:0044423
DRYU1_DN30811_c0_g1_i1.p1	GO:0006486, GO:0016021, GO:0032580, GO:0016757, GO:0005794
DRYU1_DN1754_c0_g1_i3.p1	GO:0005925, GO:0043547, GO:0007265, GO:2000179, GO:0005515, GO:0010811
DRYU1_DN1394_c0_g1_i9.p1	GO:0004712, GO:0035556, GO:0000785, GO:0046777, GO:0005524, GO:1902275, GO:0018105, GO:0005634, GO:0004674, GO:0005515, GO:0006357, GO:0106310, GO:0045860, GO:0007059
DRYU1_DN10016_c0_g1_i1.p1	GO:0006486, GO:0016021, GO:0036065, GO:0046920, GO:0032580, GO:0005794, GO:0017060, GO:0046872
DRYU1_DN14742_c0_g1_i1.p1	GO:0005737, GO:0008270, GO:0009617
DRYU1_DN4081_c0_g1_i2.p1	GO:0050790, GO:0005092, GO:0005856, GO:0051301, GO:0072686, GO:0005938, GO:0000022, GO:0001965, GO:0007097, GO:0040001, GO:0005818, GO:0007049, GO:0008277
DRYU1_DN14366_c0_g1_i1.p1	GO:0000786, GO:0030261, GO:0031492, GO:0005694, GO:0005634, GO:0006334, GO:0003690, GO:0045910, GO:0030527
DRYU1_DN11305_c0_g2_i1.p1	GO:0035672, GO:0007229, GO:0005886, GO:0007156, GO:0005654, GO:0016342, GO:0005509, GO:0048536, GO:0045296, GO:0016339, GO:0016021, GO:0033626, GO:0030054, GO:0009986, GO:0016323, GO:0002314, GO:0005427, GO:0002456, GO:0005178, GO:0002315
DRYU1_DN31292_c0_g1_i1.p1	GO:0005576, GO:0006935, GO:0016021, GO:0005102, GO:0008745, GO:0042834, GO:0016020, GO:0005615, GO:0008270
DRYU1_DN19395_c0_g1_i1.p1	GO:0005694, GO:0000776, GO:0045892, GO:0000775, GO:0006357, GO:0003676
DRYU1_DN21402_c0_g1_i1.p1	GO:0004712, GO:0005856, GO:0051301, GO:0072686, GO:0005829, GO:0005737, GO:0005524, GO:0031030, GO:0005634, GO:0004674, GO:0006998, GO:0006468, GO:0005635, GO:0044732, GO:0106310, GO:0007049, GO:0010971, GO:0007059
DRYU1_DN6450_c0_g1_i3.p1	GO:0009609, GO:0009751, GO:0009753, GO:0005737, GO:0009610, GO:0009723, GO:0008270, GO:0050832, GO:0009626
DRYU1_DN8523_c0_g1_i3.p1	GO:0005737, GO:0005634, GO:0043985, GO:0045905, GO:0010629, GO:0016706, GO:0018126
DRYU1_DN26146_c0_g1_i1.p1	GO:0005515, GO:0030317, GO:0036064
DRYU1_DN33826_c0_g1_i1.p1	GO:0000460, GO:0005856, GO:0030687, GO:0000448, GO:0090730, GO:0000792, GO:0005694, GO:0005737, GO:0005634, GO:0004519, GO:0000470, GO:0005635, GO:0000922
DRYU1_DN1598_c0_g1_i1.p1	GO:0005814, GO:0005856, GO:0019901, GO:0005737, GO:0048471, GO:0042803, GO:0005634, GO:0042995, GO:0005813, GO:0030335, GO:0008284, GO:0061099, GO:0030292, GO:0034453, GO:0030030, GO:0030307
DRYU1_DN10082_c0_g1_i1.p1	GO:0007193, GO:0050795, GO:0007268, GO:0005887, GO:0005886, GO:0045202, GO:0042310, GO:0098664, GO:0004993, GO:0006939, GO:0040012
DRYU1_DN5196_c0_g1_i1.p1	GO:0051321, GO:0003677, GO:0005739, GO:0005515
DRYU1_DN14607_c0_g1_i1.p1	GO:0005929, GO:0019898, GO:0045944, GO:0005886, GO:0042307, GO:1903569, GO:0005509, GO:0098797, GO:0060170
DRYU1_DN13919_c0_g1_i1.p1	GO:0001660, GO:0001819, GO:0005125, GO:0005628, GO:0006955, GO:0046688, GO:0051781, GO:0005149, GO:0007165, GO:0034605, GO:0005507
DRYU1_DN7173_c0_g1_i1.p1	GO:0000785, GO:0005515, GO:0033621, GO:1902801, GO:1990251, GO:1990477
DRYU1_DN2557_c0_g2_i4.p1	GO:0005737, GO:0005634, GO:1990904, GO:0048255, GO:0006406, GO:0008143
DRYU1_DN2848_c0_g1_i1.p1	GO:0005739, GO:0005777, GO:0004165, GO:0006635, GO:0005782, GO:0000062
DRYU1_DN17038_c0_g1_i1.p1	GO:0016021, GO:0005886, GO:0007186, GO:0004930
DRYU1_DN14223_c0_g1_i1.p1	GO:0030154, GO:0030672, GO:1903861, GO:0032793, GO:0001786, GO:0005886, GO:0031045, GO:0030424, GO:0070382, GO:0019905, GO:0005509, GO:0030276, GO:0005544, GO:0070374
DRYU1_DN6060_c0_g1_i14.p1	GO:0005576, GO:0031965, GO:0005829, GO:0015276, GO:1902476, GO:0007155, GO:0005887, GO:0005654, GO:0005886, GO:0030054, GO:0006508, GO:0046872, GO:0009925, GO:0004222, GO:0005229
DRYU1_DN3159_c0_g1_i1.p1	GO:0031032, GO:0004712, GO:0005856, GO:0005737, GO:0008039, GO:0005524, GO:0004674, GO:0005515, GO:0030833, GO:0008154, GO:0030424, GO:0046872, GO:0106310, GO:0030426, GO:0018107
DRYU1_DN5569_c0_g2_i1.p1	GO:0015031, GO:0061912, GO:0031503, GO:0005829, GO:0030433, GO:0005737, GO:0034270, GO:0019898, GO:0030674, GO:0005515, GO:0016050, GO:0034045, GO:0000407
DRYU1_DN3064_c0_g1_i10.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN2681_c0_g1_i1.p1	GO:0006121, GO:0005739, GO:0016021, GO:0005743, GO:0045039, GO:0005749, GO:0006099, GO:0048039, GO:0042721, GO:0046872, GO:0005740, GO:0020037, GO:0043495
DRYU1_DN8555_c0_g1_i1.p1	GO:0005829, GO:0005737, GO:0046782, GO:0034270, GO:0019898, GO:0005515, GO:0039695, GO:0046872, GO:0034045, GO:0000407
DRYU1_DN26065_c0_g1_i1.p1	GO:0005737, GO:0005506, GO:0050113, GO:0019310
DRYU1_DN35296_c0_g1_i1.p1	GO:0022625, GO:0000381, GO:0003735, GO:0005840, GO:0070180, GO:0006412
DRYU1_DN16059_c0_g1_i1.p1	GO:0034504, GO:0051087, GO:0005634, GO:0006457, GO:0006886
DRYU1_DN8467_c0_g1_i1.p1	GO:0005737, GO:0030674, GO:0005515, GO:0016567, GO:0031146, GO:0030424, GO:0051321
DRYU1_DN18412_c0_g1_i1.p1	GO:0005856, GO:0005929, GO:0008017, GO:0005737, GO:0035869, GO:0051959, GO:0036064, GO:0005813, GO:0060271
DRYU1_DN5373_c0_g1_i5.p1	GO:0017085, GO:0005524, GO:0016021, GO:0055085, GO:0042908, GO:0097254, GO:0005919, GO:0043190, GO:0016020, GO:0060857, GO:0008559, GO:0015562
DRYU1_DN8509_c0_g1_i6.p1	GO:0016021, GO:0005634, GO:0005637, GO:0005654, GO:0043621, GO:0005635, GO:0051321
DRYU1_DN11039_c0_g1_i1.p1	GO:0005739, GO:0006310, GO:0032196, GO:0003677, GO:0015074
DRYU1_DN1707_c0_g1_i1.p1	GO:1901379, GO:0015031, GO:0002092, GO:0048757, GO:0030855, GO:0044877, GO:0016021, GO:0034613, GO:0016477, GO:0010633, GO:0035646, GO:0005515, GO:0050931, GO:0007160, GO:2001046, GO:0045785, GO:0016020, GO:1900746
DRYU1_DN5088_c0_g1_i1.p1	GO:0016339, GO:0044331, GO:0005887, GO:0005886, GO:0005509, GO:0007156
DRYU1_DN7809_c0_g1_i2.p1	GO:0030674, GO:0019005, GO:0031466, GO:0031625, GO:0016567, GO:0031146
DRYU1_DN23107_c0_g1_i1.p1	GO:0016021, GO:0006357, GO:0016020, GO:0005515
DRYU1_DN27660_c0_g1_i1.p1	GO:0007586, GO:0051603, GO:0045169, GO:0006955, GO:0005764, GO:0004197, GO:0005615
DRYU1_DN826_c0_g1_i3.p1	GO:1902475, GO:0015807, GO:0005887, GO:0005886, GO:0015293, GO:0035725, GO:0015179, GO:0046872
DRYU1_DN21935_c0_g1_i1.p1	GO:0005863, GO:0005859, GO:0007498, GO:0005509
DRYU1_DN10265_c0_g1_i1.p1	GO:0005576, GO:0030683, GO:0039502, GO:0060333, GO:0004896
DRYU1_DN22737_c0_g1_i1.p1	GO:0005739, GO:0006051, GO:0009385, GO:0047465, GO:0005975, GO:0019262
DRYU1_DN6316_c0_g1_i3.p1	GO:0005739, GO:0005829, GO:0005634, GO:0006231, GO:0034399, GO:0006235, GO:0004799, GO:0032259
DRYU1_DN10775_c0_g3_i1.p1	GO:1903746, GO:0005921, GO:0051015, GO:0016021, GO:1903598, GO:0005886, GO:0005243, GO:0005509, GO:0055085
DRYU1_DN3312_c0_g1_i1.p1	GO:0005576, GO:0051085, GO:0005783, GO:0051787, GO:0101031
DRYU1_DN10178_c0_g1_i1.p1	GO:0031497, GO:0005829, GO:0051301, GO:0005680, GO:0031145, GO:0051445, GO:0005634, GO:0030071, GO:0016567, GO:0007049, GO:0061630
DRYU1_DN16657_c0_g2_i1.p1	GO:0016021, GO:0008076, GO:0032809, GO:0032590, GO:0005251, GO:0051260, GO:0030424, GO:0071805, GO:0034765
DRYU1_DN7043_c0_g2_i1.p1	GO:0006914, GO:0016021, GO:0006355, GO:0030674, GO:0043621, GO:0005886, GO:0003712
DRYU1_DN8245_c0_g1_i1.p1	GO:0003964, GO:0004519, GO:0004190, GO:0005634, GO:0006310, GO:0003887, GO:0090305, GO:0003677, GO:0006508, GO:0046872, GO:0006278, GO:0003723, GO:0015074
DRYU1_DN10889_c0_g2_i1.p1	GO:0032991, GO:0044877, GO:0043248, GO:0005515
DRYU1_DN32903_c0_g1_i1.p1	GO:0005576, GO:0070593, GO:0098632, GO:0005886, GO:0030424, GO:0007411, GO:0007156
DRYU1_DN195_c0_g1_i2.p1	GO:0008028, GO:0005887, GO:0005886, GO:0015718, GO:0015293, GO:0055085
DRYU1_DN18555_c0_g1_i1.p1	GO:0004712, GO:0007169, GO:0005524, GO:0005887, GO:0005886, GO:0033674, GO:0045138, GO:0004714, GO:0043235, GO:0018108
DRYU1_DN885_c0_g1_i2.p1	GO:0017157, GO:0051586, GO:0005525, GO:0030742, GO:0098993, GO:0005886, GO:0031489, GO:0005794, GO:0008021, GO:0097494, GO:0072659, GO:0005737, GO:0019003, GO:0005768, GO:0019882, GO:0005829, GO:0098693, GO:0018125, GO:0030141, GO:0003924, GO:0098691, GO:0006904, GO:0048471, GO:0009306
DRYU1_DN8811_c0_g1_i1.p1	GO:0015031, GO:0005929, GO:0005737, GO:0035869, GO:0061041, GO:0050728, GO:0005515, GO:0070121, GO:1900016, GO:0006954, GO:0060271, GO:0010760, GO:0010764
DRYU1_DN1128_c0_g1_i2.p1	GO:0070593, GO:0016021, GO:0098632, GO:0005886, GO:0030424, GO:0007411, GO:0007156
DRYU1_DN33635_c0_g1_i3.p1	GO:0023052, GO:0035556, GO:0004712, GO:0030437, GO:0005737, GO:0005524, GO:0005634, GO:0004674, GO:0006468, GO:0106310
DRYU1_DN7143_c0_g1_i1.p1	GO:0016021, GO:0006695, GO:0050661, GO:0047598, GO:0016020
DRYU1_DN11095_c0_g1_i2.p1	GO:0050790, GO:0002092, GO:0005829, GO:0042059, GO:0110069, GO:0007266, GO:1903144, GO:0031410, GO:0005737, GO:0005543, GO:0140036, GO:0110071, GO:0005096, GO:0036089, GO:0031991
DRYU1_DN21726_c0_g1_i1.p1	GO:0004712, GO:0007169, GO:0005524, GO:0005634, GO:0033674, GO:0004714, GO:0018108
DRYU1_DN21988_c0_g1_i1.p1	GO:0006289, GO:0070816, GO:0005675, GO:0005634, GO:0000112, GO:0000439, GO:0006366, GO:0046872, GO:0006367
DRYU1_DN24757_c0_g1_i1.p1	GO:0005856, GO:0051301, GO:0005829, GO:0000070, GO:0005694, GO:0005737, GO:0034506, GO:0098654, GO:0005654, GO:0000775, GO:0005515, GO:0005816, GO:0007049
DRYU1_DN24925_c0_g1_i2.p1	GO:0006696, GO:0005634, GO:0016491, GO:0006890
DRYU1_DN24616_c0_g1_i1.p1	GO:0048856, GO:0042302, GO:0005581
DRYU1_DN6861_c0_g1_i9.p1	GO:0097400, GO:0070534, GO:0043123, GO:0005737, GO:0033209, GO:0046330, GO:0048255, GO:0006915, GO:0008284, GO:0051092, GO:0023019, GO:0008270, GO:0042981
DRYU1_DN3404_c0_g1_i8.p1	GO:0016021, GO:0006974, GO:0003677, GO:0016020, GO:0000282
DRYU1_DN22397_c0_g1_i1.p1	GO:0005737, GO:0047685, GO:0051923
DRYU1_DN11597_c0_g1_i1.p1	GO:0000785, GO:0031509, GO:0005634, GO:0000781, GO:0005515, GO:0004402, GO:0033255, GO:0016573
DRYU1_DN19185_c0_g1_i1.p1	GO:0016021, GO:0008076, GO:0032809, GO:0032590, GO:0005251, GO:0051260, GO:0030424, GO:0071805, GO:0034765
DRYU1_DN1720_c0_g1_i3.p1	GO:0016589, GO:0005634, GO:0035064, GO:0045944, GO:0046872, GO:0000978, GO:0006325
DRYU1_DN7034_c0_g3_i1.p1	GO:0017157, GO:0031630, GO:0005525, GO:0005886, GO:0048786, GO:0008021, GO:0072659, GO:0007269, GO:0005768, GO:0032482, GO:0006887, GO:0046718, GO:0048789, GO:0045202, GO:0048172, GO:0003924, GO:0006904, GO:0048790, GO:0009306
DRYU1_DN25636_c0_g1_i1.p1	GO:0060820, GO:0010452, GO:0006355, GO:0005634, GO:0031490, GO:0005721, GO:0005515, GO:0005700, GO:0018992, GO:0046975, GO:0046872, GO:0000228
DRYU1_DN20415_c0_g1_i1.p1	GO:0005856, GO:0051301, GO:0005737, GO:0005634, GO:0005819, GO:0007051, GO:0005516, GO:0000278, GO:0000922, GO:0051295
DRYU1_DN25180_c0_g1_i1.p1	GO:0001732, GO:0030154, GO:0016282, GO:0060184, GO:0002183, GO:0000338, GO:0005737, GO:0008180, GO:0048477, GO:0071541, GO:0033290, GO:1905879, GO:0003743, GO:0006412, GO:1904667
DRYU1_DN18811_c0_g1_i1.p1	GO:0005277, GO:0015871, GO:0005328, GO:1902475, GO:0007274, GO:0015807, GO:0040017, GO:0005887, GO:0015870, GO:0005886, GO:0045202, GO:0030165, GO:0001504, GO:0015179, GO:0045211, GO:0035725
DRYU1_DN8399_c0_g1_i3.p1	GO:0000785, GO:0000124, GO:0005634, GO:0045893, GO:0005515, GO:0006357, GO:0003713, GO:0006338
DRYU1_DN5671_c0_g4_i1.p1	GO:0006511, GO:0005829, GO:0043123, GO:0005737, GO:0005634, GO:0070628, GO:0034612, GO:0070842, GO:0034341, GO:0016567, GO:1901990, GO:0043011, GO:0005654, GO:0043065, GO:0001650, GO:0005515, GO:0016235
DRYU1_DN29382_c0_g1_i1.p1	GO:0030154, GO:0005795, GO:0016021, GO:0008375, GO:0005783, GO:0006487, GO:0005793, GO:0005794, GO:0000139, GO:0007283, GO:0005789, GO:0060051
DRYU1_DN3198_c0_g1_i1.p1	GO:0061088, GO:0010043, GO:0031410, GO:0016021, GO:0009749, GO:0005385, GO:0005886, GO:0030073, GO:0006882, GO:0071577, GO:0030658
DRYU1_DN7359_c0_g1_i1.p1	GO:0004712, GO:0007169, GO:0005524, GO:0005887, GO:0005886, GO:0033674, GO:0004714, GO:0043235, GO:0018108
DRYU1_DN28308_c0_g1_i1.p1	GO:0050790, GO:0000785, GO:0005829, GO:0005737, GO:0005634, GO:0010774, GO:0000709, GO:0007131, GO:0005515, GO:0003690, GO:0120231, GO:0120230, GO:0051321
DRYU1_DN4826_c0_g2_i8.p1	GO:0004712, GO:0005737, GO:0005524, GO:0045332, GO:0005634, GO:0004674, GO:0006468, GO:0005886, GO:0000749, GO:0106310
DRYU1_DN11161_c0_g2_i1.p1	GO:0005694, GO:0005634, GO:0000781, GO:0008033, GO:0006412, GO:0061630
DRYU1_DN5480_c0_g1_i1.p1	GO:0043009, GO:0042802, GO:0019841, GO:0071939, GO:0034632, GO:0005887, GO:0005886, GO:0005516, GO:0034633, GO:0016918, GO:0038023
DRYU1_DN34565_c0_g1_i1.p1	GO:0005634, GO:0006310, GO:0032196, GO:0003677, GO:0015074
DRYU1_DN12450_c0_g1_i2.p1	GO:0043025, GO:0005262, GO:0005886, GO:0050982, GO:1902435, GO:0030424, GO:0034608, GO:0005789, GO:0043204, GO:0023041, GO:0005509, GO:0060170, GO:0016021, GO:0005783, GO:0097730, GO:0070588, GO:0071683, GO:0034606, GO:0048471
DRYU1_DN24718_c0_g1_i2.p1	GO:0016021, GO:0046485, GO:0005515, GO:0047409, GO:0047408, GO:0016020
DRYU1_DN4689_c0_g1_i2.p1	GO:0000978, GO:0007399, GO:0061629, GO:0031536, GO:0030182, GO:0000981, GO:0005634, GO:0048568, GO:0001223, GO:0035329, GO:0045944, GO:0090575, GO:0000122, GO:0055059, GO:0007049
DRYU1_DN35033_c0_g1_i1.p1	GO:0005125, GO:0007155, GO:0031160, GO:0030435, GO:0005133
DRYU1_DN7838_c0_g1_i4.p1	GO:0005829, GO:0005737, GO:0005694, GO:0005634, GO:0006310, GO:0006281, GO:0005515, GO:0030915, GO:0048478
DRYU1_DN28220_c0_g1_i1.p1	GO:0016920, GO:0005829, GO:0006508, GO:0005737
DRYU1_DN7447_c0_g1_i1.p1	GO:0030683, GO:0016021, GO:0005515, GO:0039547, GO:0016020, GO:0039644, GO:0039503
DRYU1_DN18840_c0_g1_i1.p1	GO:0004712, GO:0044297, GO:0005524, GO:0005634, GO:0005938, GO:0018108, GO:0004715, GO:0030425, GO:0045202, GO:0030424, GO:0043204
DRYU1_DN6582_c3_g1_i3.p1	GO:0004712, GO:0005524, GO:0016021, GO:0004674, GO:0006468, GO:0016020, GO:0046872, GO:0106310
DRYU1_DN11688_c0_g1_i2.p1	GO:1903204, GO:0072756, GO:0031749, GO:0005887, GO:0016020, GO:0051584, GO:1902883
DRYU1_DN10653_c0_g1_i2.p1	GO:0046680, GO:0016021, GO:0004497, GO:0020037, GO:0046701, GO:0046689, GO:0016020, GO:0046683, GO:0005506, GO:0016705
DRYU1_DN7067_c0_g2_i1.p1	GO:0006660, GO:0052651, GO:0098734, GO:0047372, GO:0004620, GO:0008474, GO:0016020
DRYU1_DN30888_c0_g1_i1.p1	GO:0030550, GO:0005576, GO:0033130, GO:0001971
DRYU1_DN2168_c0_g2_i2.p1	GO:0016021, GO:0020002, GO:0016020, GO:0006811, GO:0005112, GO:0055036
DRYU1_DN34018_c0_g1_i1.p1	GO:0042742, GO:0005634, GO:0005524
DRYU1_DN7912_c0_g2_i7.p1	GO:0051301, GO:0005525, GO:0008017, GO:0005737, GO:0061952, GO:0000281, GO:0005874, GO:0001891, GO:0003924, GO:0006997, GO:1905345, GO:0032154, GO:0030496, GO:0007015, GO:0007049, GO:0030835
DRYU1_DN1786_c0_g1_i2.p1	GO:0045887, GO:0043547, GO:0030837, GO:0007274, GO:0005737, GO:0034613, GO:0035020, GO:0007480, GO:0005543, GO:0017124, GO:0031594, GO:0005096, GO:1990255, GO:1900144, GO:0007165
DRYU1_DN7025_c0_g1_i1.p1	GO:0015031, GO:0046923, GO:0006621, GO:0016021, GO:0005783, GO:0016192, GO:0005789
DRYU1_DN22994_c0_g1_i1.p1	GO:0016021, GO:0020037, GO:0016020, GO:0051321, GO:0015232
DRYU1_DN9067_c0_g1_i1.p1	GO:0042595, GO:0051028, GO:0030017, GO:0048168, GO:0042802, GO:0110077, GO:0003729, GO:0098975, GO:0003012, GO:0045202, GO:0016020, GO:1903561
DRYU1_DN1795_c1_g2_i6.p1	GO:0030154, GO:0005730, GO:0005737, GO:0005634, GO:0004722
DRYU1_DN8664_c0_g1_i1.p1	GO:0060070, GO:0097475, GO:0060573, GO:1905485, GO:0007163, GO:0008356, GO:0010623, GO:0005109, GO:0005125, GO:0030182, GO:0046330, GO:0048699, GO:0045165, GO:0097402, GO:0046662, GO:0005576, GO:1904936, GO:0040028, GO:0040025, GO:0045138, GO:0005615
DRYU1_DN6626_c0_g1_i1.p1	GO:0090630, GO:0005856, GO:0005737, GO:0005515, GO:0005096, GO:2000253, GO:0030424, GO:0030426
DRYU1_DN2550_c0_g1_i1.p1	GO:0005856, GO:0005737, GO:0005874, GO:0031514, GO:0060296, GO:0036064, GO:0005515, GO:0060271, GO:0003723, GO:2000147
DRYU1_DN2218_c0_g1_i2.p1	GO:0016021, GO:0009311, GO:0005783, GO:0004573, GO:0006487, GO:0005789
DRYU1_DN5552_c0_g1_i2.p1	GO:0016021, GO:0022857, GO:0016020, GO:0055085
DRYU1_DN11255_c0_g2_i1.p1	GO:0031625, GO:0005829, GO:0110011, GO:0005737
DRYU1_DN27559_c0_g1_i2.p1	GO:0005779, GO:0005777, GO:0045033, GO:0005515, GO:0005778, GO:0043495
DRYU1_DN8509_c1_g2_i2.p1	GO:0005634, GO:0048601, GO:0045740, GO:0005515, GO:0045836, GO:0090727, GO:0006260, GO:2001252, GO:0051321
DRYU1_DN16056_c0_g2_i1.p1	GO:0008270, GO:0006208, GO:0004157, GO:0005737
DRYU1_DN906_c0_g1_i1.p1	GO:0003974, GO:0033499, GO:0005829, GO:0003978
